id,Name,Author,Year,Publication Name,DOI,Publication Year,Database,Publication Type,q1,q2,q3,q4,q5,q6,q7,final_decision
42,Advanced Deep Learning Model for Predicting the Academic Performances of Students in Educational Institutions,"Baniata, LH; Kang, S; Alsharaiah, MA; Baniata, MH",2024.0,APPLIED SCIENCES-BASEL,10.3390/app14051963,2024.0,WoS,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
43,Multi-site fMRI analysis using privacy-preserving fe derate d learning and domain adaptation: ABIDE results,"Li, XX; Gu, YF; Dvornek, N; Staib, LH; Ventola, P; Duncan, JS",2020.0,MEDICAL IMAGE ANALYSIS,10.1016/j.media.2020.101765,2020.0,WoS,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
44,A TLBO-Tuned Neural Processor for Predicting Heating Load in Residential Buildings,"Almutairi, K; Algarni, S; Alqahtani, T; Moayedi, H; Mosavi, A",2022.0,SUSTAINABILITY,10.3390/su14105924,2022.0,WoS,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
45,A comprehensive framework for hand gesture recognition using hybrid-metaheuristic algorithms and deep learning models,"Mohyuddin, H; Moosavi, SKR; Zafar, MH; Sanfilippo, F",2023.0,ARRAY,10.1016/j.array.2023.100317,2023.0,WoS,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
47,An Intrusion Detection Approach using Hierarchical Deep Learning-based Butterfly Optimization Algorithm in Big Data Platform,Manoranjithem; S. Dhanasekaran; A. Asokan; A. Kumar; C. Yamini; M. Tiwari,2023.0,2023 International Conference on Intelligent Data Communication Technologies and Internet of Things (IDCIoT),10.1109/IDCIoT56793.2023.10053504,2023.0,IEEE Conferences,,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
48,Semi-Supervised Discovery of DNN-Based Outcome Predictors from Scarcely-Labeled Process Logs,"Folino, Francesco; Folino, Gianluigi; Guarascio, Massimo; Pontieri, Luigi",2023.0,Business & Information Systems Engineering,https://aisel.aisnet.org/bise/vol64/iss6/3,2023.0,Aisel,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
49,Predictive End-to-End Enterprise Process Network Monitoring,"Oberdorf, Felix; Schaschek, Myriam; Weinzierl, Sven; Stein, Nikolai; Matzner, Martin; Flath, Christoph M.",2023.0,Business & Information Systems Engineering,https://aisel.aisnet.org/bise/vol65/iss1/4,2023.0,Aisel,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
50,Creating Proactive Cyber Threat Intelligence with Hacker Exploit Labels: A Deep Transfer Learning Approach,"Ampel, Benjamin M.; Samtani, Sagar; Zhu, Hongyi; Chen, Hsinchun",2024.0,Management Information Systems Quarterly,https://aisel.aisnet.org/misq/vol48/iss1/7,2024.0,Aisel,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
51,Go to You Tube and Call Me in the Morning:  Use of Social Media for Chronic Conditions,"Liu, Xiao; Zhang, Bin; Susarla, Anjana; Padman, Rema",2020.0,Management Information Systems Quarterly,https://aisel.aisnet.org/misq/vol44/iss1/12,2020.0,Aisel,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
52,Enhancing Social Media Analysis with Visual Data Analytics:  A Deep Learning Approach,"Shin, Donghyuk; He, Shu; Lee, Gene M.; WHINSTON, ANDREW B.; Centintas, Suleyman; Lee, Kuang-Chih",2020.0,Management Information Systems Quarterly,https://aisel.aisnet.org/misq/vol44/iss4/3,2020.0,Aisel,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
53,A Novel Business Process Prediction Model Using a DeepLearning Method,"Mehdiyev, Nijat; Fettke, Peter; Evermann, Joerg",2020.0,Business & Information Systems Engineering,https://aisel.aisnet.org/bise/vol62/iss2/5,2020.0,Aisel,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
54,Wearable Sensor-Based Chronic Condition Severity Assessment: An Adversarial Attention-Based Deep Multisource Multitask Learning Approach,"Yu, Shuo; Chai, Yidong; Chen, Hsinchun; Sherman, Scott J.; Brown, Randall A.",2022.0,Management Information Systems Quarterly,https://aisel.aisnet.org/misq/vol46/iss3/7,2022.0,Aisel,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
55,A Deep Learning Approach for Recognizing Activity of Daily Living (ADL) for Senior Care:  Exploiting Interaction Dependency and Temporal Patterns,"Zhu, Hongyi; Samtani, Sagar; Brown, Randall A.; Chen, Hsinchun",2021.0,Management Information Systems Quarterly,https://aisel.aisnet.org/misq/vol45/iss2/13,2021.0,Aisel,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
58,AI-Based on Machine Learning Methods for Urban Real Estate Prediction: A Systematic Survey,Stéphane C. K. TekouabouŞtefan Cristian GherghinaEric Désiré KameniYoussef FilaliKhalil Idrissi Gartoumi,2024.0,Archives of Computational Methods in Engineering,10.1007/s11831-023-10010-5,2024.0,Springer,Stéphane C. K. TekouabouŞtefan Cristian GherghinaEric Désiré KameniYoussef FilaliKhalil Idrissi Gartoumi,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
59,Prescriptive analytics systems revised: a systematic literature review from an information systems perspective,Christopher WissuchekPatrick Zschech,2024.0,Information Systems and e-Business Management,10.1007/s10257-024-00688-w,2024.0,Springer,Christopher WissuchekPatrick Zschech,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
60,Intelligent Materials Improvement Through Artificial Intelligence Approaches: A Systematic Literature Review,José G. B. A. LimaAnderson S. L. GomesAdiel T. de Almeida-Filho,2024.0,Archives of Computational Methods in Engineering,10.1007/s11831-024-10163-x,2024.0,Springer,José G. B. A. LimaAnderson S. L. GomesAdiel T. de Almeida-Filho,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
61,Artificial Intelligence Based Methods for Smart and Sustainable Urban Planning: A Systematic Survey,Stéphane Cédric Koumetio TekouabouEl Bachir DiopRida AzmiJérôme Chenal,2023.0,Archives of Computational Methods in Engineering,10.1007/s11831-022-09844-2,2023.0,Springer,Stéphane Cédric Koumetio TekouabouEl Bachir DiopRida AzmiJérôme Chenal,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
62,Tracking machine learning models for pandemic scenarios: a systematic review of machine learning models that predict local and global evolution of pandemics,Marcelo Benedeti PalermoLucas Micol PolicarpoCristiano André da CostaRodrigo da Rosa Righi,2022.0,Network Modeling Analysis in Health Informatics and Bioinformatics,10.1007/s13721-022-00384-0,2022.0,Springer,Marcelo Benedeti PalermoLucas Micol PolicarpoCristiano André da CostaRodrigo da Rosa Righi,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
64,Intelligent Slime Mould Optimization with Deep Learning Enabled Traffic Prediction in Smart Cities,"Hamza, MA; Alsolai, H; Alzahrani, JS; Alamgeer, M; Sayed, MM; Zamani, A; Yaseen, I; Motwakel, A",2022.0,CMC-COMPUTERS MATERIALS & CONTINUA,10.32604/cmc.2022.031541,2022.0,WoS,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
65,Towards Modified Entropy Mutual Information Feature Selection to Forecast Medium-Term Load Using a Deep Learning Model in Smart Homes,"Samuel, O; Alzahrani, FA; Khan, RJU; Farooq, H; Shafiq, M; Afzal, MK; Javaid, N",2020.0,ENTROPY,10.3390/e22010068,2020.0,WoS,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
66,Double-Target Based Neural Networks in Predicting Energy Consumption in Residential Buildings,"Moayedi, H; Mosavi, A",2021.0,ENERGIES,10.3390/en14051331,2021.0,WoS,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
67,Analysis of the application methods of film and television media and images in the era of big data cloud,"Zhang, Q",2023.0,APPLIED MATHEMATICS AND NONLINEAR SCIENCES,10.2478/amns.2023.1.00063,2023.0,WoS,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
68,Bayesian Optimization LSTM/bi-LSTM Network With Self-Optimized Structure and Hyperparameters for Remaining Useful Life Estimation of Lathe Spindle Unit,"Thoppil, NM; Vasu, V; Rao, CSP",2022.0,JOURNAL OF COMPUTING AND INFORMATION SCIENCE IN ENGINEERING,10.1115/1.4052838,2022.0,WoS,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
69,Bayesian-Based Hyperparameter Optimization of 1D-CNN for Structural Anomaly Detection,"Li, XF; Guo, HA; Xu, LX; Xing, ZZ",2023.0,SENSORS,10.3390/s23115058,2023.0,WoS,,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0
70,Extended and optimized deep convolutional neural network-based lung tumor identification in big data,"Ananth, AD; Palanisamy, C",2022.0,INTERNATIONAL JOURNAL OF IMAGING SYSTEMS AND TECHNOLOGY,10.1002/ima.22667,2022.0,WoS,,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0
71,Ensemble Random Forest-based Gradient Optimization based Energy Efficient Video Processing System for Smart Traffic Surveillance System,"Rajagopal, S; Devi, MU; Jones, GM; Nayagam, MG",2024.0,IETE JOURNAL OF RESEARCH,10.1080/03772063.2024.2350927,2024.0,WoS,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0
72,An automated prediction of remote sensing data of Queensland-Australia for flood and wildfire susceptibility using BISSOA-DBMLA scheme,"Sankaran, KS; Lim, SJ; Bhaskar, SCV",2022.0,ACTA GEOPHYSICA,10.1007/s11600-022-00925-1,2022.0,WoS,,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0
73,Unintended Emotional Effects of Online Health Communities: A Text Mining-Supported Empirical Study,"Zhou, Jiaqi; Zhang, Qingpeng; Zhou, Sijia; Li, Xin; Zhang, Xiaoquan (Michael)",2023.0,Management Information Systems Quarterly,https://aisel.aisnet.org/misq/vol47/iss1/9,2023.0,Aisel,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
74,An Imbalanced Big Data Mining Framework for Improving Optimization Algorithms Performance,E. M. Hassib; A. I. El-Desouky; E. -S. M. El-Kenawy; S. M. El-Ghamrawy,2019.0,IEEE Access,10.1109/ACCESS.2019.2955983,2019.0,IEEE Journals,,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0
75,A Fully Streaming Big Data Framework for Cyber Security Based on Optimized Deep Learning Algorithm,N. Hussen; S. M. Elghamrawy; M. Salem; A. I. El-Desouky,2023.0,IEEE Access,10.1109/ACCESS.2023.3281893,2023.0,IEEE Journals,,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0
76,A Deep Learning H2O Framework for Emergency Prediction in Biomedical Big Data,A. S. Elsayad; A. I. E. Desouky; M. M. Salem; M. Badawy,2020.0,IEEE Access,10.1109/ACCESS.2020.2995790,2020.0,IEEE Journals,,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0
78,Toward Optimally Efficient Search With Deep Learning for Large-Scale MIMO Systems,L. He; K. He; L. Fan; X. Lei; A. Nallanathan; G. K. Karagiannidis,2022.0,IEEE Transactions on Communications,10.1109/TCOMM.2022.3158367,2022.0,IEEE Journals,,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0
80,splitDyn: Federated Split Neural Network for Distributed Edge AI Applications,T. A. Khoa; D. -V. Nguyen; M. -S. Dao; K. Zettsu,2022.0,2022 IEEE International Conference on Big Data (Big Data),10.1109/BigData55660.2022.10020803,2022.0,IEEE Conferences,,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0
81,Convolutional Neural Network Compression Based on Improved Fractal Decomposition Algorithm for Large Scale Optimization,A. Llanza; F. E. Keddous; N. Shvai; A. Nakib,2023.0,"2023 IEEE International Conference on Systems, Man, and Cybernetics (SMC)",10.1109/SMC53992.2023.10394477,2023.0,IEEE Conferences,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
82,Emergency Drug Procurement Planning Based on Big-Data Driven Morbidity Prediction,Q. Song; Y. -J. Zheng; Y. -J. Huang; Z. -G. Xu; W. -G. Sheng; J. Yang,2019.0,IEEE Transactions on Industrial Informatics,10.1109/TII.2018.2870879,2019.0,IEEE Journals,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
83,An Intelligent Big Data Security Framework Based on AEFS-KENN Algorithms for the Detection of Cyber-Attacks from Smart Grid Systems,S. Muthubalaji; N. K. Muniyaraj; S. P. V. S. Rao; K. Thandapani; P. R. Mohan; T. Somasundaram; Y. Farhaoui,2024.0,Big Data Mining and Analytics,10.26599/BDMA.2023.9020022,2024.0,TUP Journals,,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0
84,Sorting the Digital Stream: Big Data-driven Insights into Email Classification for Spam and Ham Detection,S. A. Shah; E. A. Arputham; A. Ahmed; M. B. Farah; A. Shah; A. Aziz,2023.0,2023 IEEE International Conference on Big Data (BigData),10.1109/BigData59044.2023.10386224,2023.0,IEEE Conferences,,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0
85,Individual Recognition of Big Data Radar Digital Waveform Based on Long Short-Term Memory Network,Y. Jiang; W. Sheng; D. Cheng; L. Xiang; R. Song; W. Jiang,2023.0,"2023 IEEE 3rd International Conference on Information Technology, Big Data and Artificial Intelligence (ICIBA)",10.1109/ICIBA56860.2023.10165161,2023.0,IEEE Conferences,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
86,Large-Scale Mobile App Identification Using Deep Learning,S. Rezaei; B. Kroencke; X. Liu,2020.0,IEEE Access,10.1109/ACCESS.2019.2962018,2020.0,IEEE Journals,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
87,Big Vibration Data Diagnosis of Bearing Fault Base on Feature Representation of Autoencoder and Optimal LSSVM-CRO Classifier Model,V. Nguyen; T. Dung Hoang; V. Thai; X. Nguyen,2019.0,2019 International Conference on System Science and Engineering (ICSSE),10.1109/ICSSE.2019.8823332,2019.0,IEEE Conferences,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
88,Adaptive Deep Learning Model for Air Pollution Analysis Using Meteorological Big Data,S. Suganya; T. Meyyappan,2021.0,"2021 2nd International Conference on Communication, Computing and Industry 4.0 (C2I4)",10.1109/C2I454156.2021.9689298,2021.0,IEEE Conferences,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
90,An intrusion detection approach using ensemble Support Vector Machine based Chaos Game Optimization algorithm in big data platform,"Ponmalar A,Dhanakoti V",2022.0,Elsevier Science Publishers B. V.,10.1016/j.asoc.2021.108295,2022.0,ACM,Journal Article,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
91,A New Distributed and Decentralized Stochastic Optimization Algorithm with Applications in Big Data Analytics,"Shahbazian R,Grandinetti L,Guerriero F",2019.0,Springer-Verlag,10.1007/978-3-030-13709-0_7,2019.0,ACM,Conference Paper,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0
92,Feature selection based on an improved cat swarm optimization algorithm for big data classification,"Lin KC,Zhang KY,Huang YH,Hung JC,Yen N",2016.0,Kluwer Academic Publishers,10.1007/s11227-016-1631-0,2016.0,ACM,Journal Article,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
93,Developing a Novel Hybrid Biogeography-Based Optimization Algorithm for Multilayer Perceptron Training under Big Data Challenge,"Pu X,Chen S,Yu X,Zhang L",2018.0,Hindawi Limited,10.1155/2018/2943290,2018.0,ACM,Journal Article,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
94,Machine Learning and Computational Mathematics: Studies of Accelerating Polymer Phase Discovery and Finding Optimal Policies for a Pandemic,"Xuan Y,J. Garcia-Cervera C,H Fredrickson G",2021.0,"University of California, Santa Barbara",,2021.0,ACM,Ph.D. Thesis,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
95,Fast correlated-photon imaging enhanced by deep learning,Li Z.-M.; Wu S.-B.; Gao J.; Zhou H.; Yan Z.-Q.; Ren R.-J.; Yin S.-Y.; Jin X.-M.,2021.0,Optica,10.1364/OPTICA.408843,2021.0,Scopus,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
96,An effective structure of multi-modal deep convolutional neural network with adaptive group teaching optimization,Gupta V.; Pawar S.,2022.0,Soft Computing,10.1007/s00500-022-07107-7,2022.0,Scopus,,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0
97,Blockchain based Securing Medical Records in Big Data Analytics,Marichamy V.S.; Natarajan V.,2023.0,Data and Knowledge Engineering,10.1016/j.datak.2022.102122,2023.0,Scopus,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
98,Distributed hierarchical deep optimization for federated learning in mobile edge computing,Zheng X.; Shah S.B.H.; Bashir A.K.; Nawaz R.; Rana U.,2022.0,Computer Communications,10.1016/j.comcom.2022.07.028,2022.0,Scopus,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
99,Fuzzy Local Information and Bhattacharya-Based C-Means Clustering and Optimized Deep Learning in Spark Framework for Intrusion Detection,Bouya-Moko B.E.; Boahen E.K.; Wang C.,2022.0,Electronics (Switzerland),10.3390/electronics11111675,2022.0,Scopus,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
101,Predictions of the Key Operating Parameters in Waste Incineration Using Big Data and a Multiverse Optimizer Deep Learning Model,Zhao Z.; Zhou Z.; Lu Y.; Li Z.; Wei Q.; Xu H.,2023.0,Sustainability (Switzerland),10.3390/su151914530,2023.0,Scopus,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
102,Hybrid Whale Tabu algorithm optimized convolutional neural network architecture for intrusion detection in big data,Ponmalar A.; Dhanakoti V.,2022.0,Concurrency and Computation: Practice and Experience,10.1002/cpe.7038,2022.0,Scopus,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
103,Hyperparameter Tuned Deep Learning Enabled Intrusion Detection on Internet of Everything Environment,Hamza M.A.; Abdalla Hashim A.H.; Mohamed H.G.; Alotaibi S.S.; Mahgoub H.; Mehanna A.S.; Motwakel A.,2022.0,"Computers, Materials and Continua",10.32604/cmc.2022.031303,2022.0,Scopus,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
104,Modified Buffalo Optimization with Big Data Analytics Assisted Intrusion Detection Model,Sheeba R.; Sharmila R.; Alkhayyat A.; Malik R.Q.,2023.0,Computer Systems Science and Engineering,10.32604/csse.2023.034321,2023.0,Scopus,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
105,Cyber Forensic Investigation in IoT Using Deep Learning Based Feature Fusion in Big Data,Thapaliya S.; Sharma P.K.,2023.0,International Journal of Wireless Information Networks,10.1007/s10776-022-00586-3,2023.0,Scopus,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
