id,Name,Author,Year,Publication Name,DOI,Publication Year,Database,Publication Type,q1,q2,q3,q4,q5,q6,q7,final_decision,pdf_found,BibTex Reference
20,Bone age assessment using convolutional neural networks,S. Wang; Y. Shen; D. Zeng; Y. Hu,2018.0,2018 International Conference on Artificial Intelligence and Big Data (ICAIBD),10.1109/ICAIBD.2018.8396189,2018.0,IEEE Conferences,,1,1,1,1,1,1,1,1,1,"'@inproceedings{Wang2018175,
  title = {Bone Age Assessment Using Convolutional Neural Networks},
  booktitle = {2018 {{International Conference}} on {{Artificial Intelligence}} and {{Big Data}} ({{ICAIBD}})},
  author = {Wang, Shuqiang and Shen, Yanyan and Zeng, Dewei and Hu, Yong},
  year = {2018},
  month = may,
  pages = {175--178},
  publisher = {IEEE},
  address = {Chengdu},
  doi = {10.1109/ICAIBD.2018.8396189},
  isbn = {978-1-5386-6987-7}
}"
23,Improved Multi-Agent Deep Deterministic Policy Gradient for Path Planning-Based Crowd Simulation,S. Zheng; H. Liu,2019.0,IEEE Access,10.1109/ACCESS.2019.2946659,2019.0,IEEE Journals,,1,1,1,1,1,1,1,1,1,"'@article{Zheng2019147755,
  title = {Improved {{Multi-Agent Deep Deterministic Policy Gradient}} for {{Path Planning-Based Crowd Simulation}}},
  author = {Zheng, Shangfei and Liu, Hong},
  year = {2019},
  journal = {IEEE Access},
  volume = {7},
  pages = {147755--147770},
  issn = {2169-3536},
  doi = {10.1109/ACCESS.2019.2946659},
  copyright = {https://creativecommons.org/licenses/by/4.0/legalcode}
}"
24,Hybrid Optimization Algorithm for Detection of Security Attacks in IoT-Enabled Cyber-Physical Systems,A. Sagu; N. S. Gill; P. Gulia; I. Priyadarshini; J. M. Chatterjee,2024.0,IEEE Transactions on Big Data,10.1109/TBDATA.2024.3372368,2024.0,IEEE Early Access Articles,,1,1,1,1,1,1,1,1,1,"'@article{Sagu202535,
  title = {Hybrid {{Optimization Algorithm}} for {{Detection}} of {{Security Attacks}} in {{IoT-Enabled Cyber-Physical Systems}}},
  author = {Sagu, Amit and Gill, Nasib Singh and Gulia, Preeti and Priyadarshini, Ishaani and Chatterjee, Jyotir Moy},
  year = {2025},
  month = feb,
  journal = {IEEE Transactions on Big Data},
  volume = {11},
  number = {1},
  pages = {35--46},
  issn = {2332-7790, 2372-2096},
  doi = {10.1109/TBDATA.2024.3372368},
  copyright = {https://ieeexplore.ieee.org/Xplorehelp/downloads/license-information/IEEE.html}
}"
25,Improved Double Deep Q Network-Based Task Scheduling Algorithm in Edge Computing for Makespan Optimization,L. Zeng; Q. Liu; S. Shen; X. Liu,2024.0,Tsinghua Science and Technology,10.26599/TST.2023.9010058,2024.0,TUP Journals,,1,1,1,1,1,1,1,1,1,"'@article{Zeng2024806,
  title = {Improved {{Double Deep Q Network-Based Task Scheduling Algorithm}} in {{Edge Computing}} for {{Makespan Optimization}}},
  author = {Zeng, Lei and Liu, Qi and Shen, Shigen and Liu, Xiaodong},
  year = {2024},
  month = jun,
  journal = {Tsinghua Science and Technology},
  volume = {29},
  number = {3},
  pages = {806--817},
  issn = {1007-0214},
  doi = {10.26599/TST.2023.9010058}
}"
26,Learning-Based Application-Agnostic 3D NoC Design for Heterogeneous Manycore Systems,B. K. Joardar; R. G. Kim; J. R. Doppa; P. P. Pande; D. Marculescu; R. Marculescu,2019.0,IEEE Transactions on Computers,10.1109/TC.2018.2889053,2019.0,IEEE Journals,,1,1,1,1,1,1,1,1,1,"'@article{Joardar2019852,
  title = {Learning-{{Based Application-Agnostic 3D NoC Design}} for {{Heterogeneous Manycore Systems}}},
  author = {Joardar, Biresh Kumar and Kim, Ryan Gary and Doppa, Janardhan Rao and Pande, Partha Pratim and Marculescu, Diana and Marculescu, Radu},
  year = {2019},
  month = jun,
  journal = {IEEE Transactions on Computers},
  volume = {68},
  number = {6},
  pages = {852--866},
  issn = {0018-9340, 1557-9956, 2326-3814},
  doi = {10.1109/TC.2018.2889053},
  copyright = {https://ieeexplore.ieee.org/Xplorehelp/downloads/license-information/IEEE.html}
}"
27,WOA plus BRNN: An imbalanced big data classification framework using Whale optimization and deep neural network,"Hassib, EM; El-Desouky, AI; Labib, LM; El-kenawy, ESM",2020.0,Duplicate of 5,10.1007/s00500-019-03901-y,2020.0,WoS,,1,1,1,1,1,1,1,1,1,"'@article{hassib2020woa+,
  title={WOA+ BRNN: An imbalanced big data classification framework using Whale optimization and deep neural network},
  author={Hassib, Eslam M and El-Desouky, Ali I and Labib, Labib M and El-Kenawy, El-Sayed M},
  journal={soft computing},
  volume={24},
  number={8},
  pages={5573--5592},
  year={2020},
  publisher={Springer}
}"
28,Unsupervised Land Cover Classification of Hybrid and Dual-Polarized Images Using Deep Convolutional Neural Network,A. Chatterjee; J. Saha; J. Mukherjee; S. Aikat; A. Misra,2021.0,IEEE Geoscience and Remote Sensing Letters,10.1109/LGRS.2020.2993095,2021.0,IEEE Journals,,1,1,1,1,1,1,1,1,1,"'@article{Chatterjee2021969,
  title = {Unsupervised {{Land Cover Classification}} of {{Hybrid}} and {{Dual-Polarized Images Using Deep Convolutional Neural Network}}},
  author = {Chatterjee, Ankita and Saha, Jayasree and Mukherjee, Jayanta and Aikat, Subhas and Misra, Arundhati},
  year = {2021},
  month = jun,
  journal = {IEEE Geoscience and Remote Sensing Letters},
  volume = {18},
  number = {6},
  pages = {969--973},
  issn = {1545-598X, 1558-0571},
  doi = {10.1109/LGRS.2020.2993095},
  copyright = {https://ieeexplore.ieee.org/Xplorehelp/downloads/license-information/IEEE.html}
}"
29,Reliability Analysis of Power Distribution Network Based on PSO-DBN,H. Shan; Y. Sun; W. Zhang; A. Kudreyko; L. Ren,2020.0,IEEE Access,10.1109/ACCESS.2020.3007776,2020.0,IEEE Journals,,1,1,1,1,1,1,1,1,1,"'@article{Shan2020224884,
  title = {Reliability {{Analysis}} of {{Power Distribution Network Based}} on {{PSO-DBN}}},
  author = {Shan, Hongtao and Sun, Yuanyuan and Zhang, Wenjun and Kudreyko, Aleksey and Ren, Lijia},
  year = {2020},
  journal = {IEEE Access},
  volume = {8},
  pages = {224884--224894},
  issn = {2169-3536},
  doi = {10.1109/ACCESS.2020.3007776},
  copyright = {https://creativecommons.org/licenses/by/4.0/legalcode}
}"
30,A Comprehensive Survey on Training Acceleration for Large Machine Learning Models in IoT,H. Wang; Z. Qu; Q. Zhou; H. Zhang; B. Luo; W. Xu; S. Guo; R. Li,2022.0,IEEE Internet of Things Journal,10.1109/JIOT.2021.3111624,2022.0,IEEE Journals,,1,1,1,1,1,1,1,1,1,"'@article{Wang2022939,
  title = {A {{Comprehensive Survey}} on {{Training Acceleration}} for {{Large Machine Learning Models}} in {{IoT}}},
  author = {Wang, Haozhao and Qu, Zhihao and Zhou, Qihua and Zhang, Haobo and Luo, Boyuan and Xu, Wenchao and Guo, Song and Li, Ruixuan},
  year = {2022},
  month = jan,
  journal = {IEEE Internet of Things Journal},
  volume = {9},
  number = {2},
  pages = {939--963},
  issn = {2327-4662, 2372-2541},
  doi = {10.1109/JIOT.2021.3111624},
  copyright = {https://ieeexplore.ieee.org/Xplorehelp/downloads/license-information/IEEE.html}
}"
31,Machine Learning in Business Process Monitoring: A Comparison of Deep Learning and Classical Approaches Used for Outcome Prediction,"Kratsch, Wolfgang; Manderscheid, Jonas; Röglinger, Maximilian; Seyfried, Johannes",2021.0,Business & Information Systems Engineering,https://aisel.aisnet.org/bise/vol63/iss3/5,2021.0,Aisel,,1,1,1,1,1,1,1,1,1,"'@article{Kratsch2021261,
  title = {Machine {{Learning}} in {{Business Process Monitoring}}: {{A Comparison}} of {{Deep Learning}} and {{Classical Approaches Used}} for {{Outcome Prediction}}},
  shorttitle = {Machine {{Learning}} in {{Business Process Monitoring}}},
  author = {Kratsch, Wolfgang and Manderscheid, Jonas and R{\""o}glinger, Maximilian and Seyfried, Johannes},
  year = {2021},
  month = jun,
  journal = {Business \& Information Systems Engineering},
  volume = {63},
  number = {3},
  pages = {261--276},
  issn = {1867-0202},
  doi = {10.1007/s12599-020-00645-0},
  abstract = {Predictive process monitoring aims at forecasting the behavior, performance, and outcomes of business processes at runtime. It helps identify problems before they occur and re-allocate resources before they are wasted. Although deep learning (DL) has yielded breakthroughs, most existing approaches build on classical machine learning (ML) techniques, particularly when it comes to outcome-oriented predictive process monitoring. This circumstance reflects a lack of understanding about which event log properties facilitate the use of DL techniques. To address this gap, the authors compared the performance of DL (i.e., simple feedforward deep neural networks and long short term memory networks) and ML techniques (i.e., random forests and support vector machines) based on five publicly available event logs. It could be observed that DL generally outperforms classical ML techniques. Moreover, three specific propositions could be inferred from further observations: First, the outperformance of DL techniques is particularly strong for logs with a high variant-to-instance ratio (i.e., many non-standard cases). Second, DL techniques perform more stably in case of imbalanced target variables, especially for logs with a high event-to-activity ratio (i.e., many loops in the control flow). Third, logs with a high activity-to-instance payload ratio (i.e., input data is predominantly generated at runtime) call for the application of long short term memory networks. Due to the purposive sampling of event logs and techniques, these findings also hold for logs outside this study.},
  langid = {english},
  keywords = {Business process management,Deep learning,Machine learning,Outcome prediction,Predictive process monitoring}
}"
32,Unlocking the Power of Voice for Financial Risk Prediction: A Theory-Driven Deep Learning Design Approach,"Yang, Yi; Qin, Yu; Fan, Yangyang; Zhang, Zhongju",2023.0,Management Information Systems Quarterly,https://aisel.aisnet.org/misq/vol47/iss1/5,2023.0,Aisel,,1,1,1,1,1,1,1,1,1,"'@article{Yang202363,
  title = {Unlocking the {{Power}} of {{Voice}} for {{Financial Risk Prediction}}: {{A Theory-Driven Deep Learning Design Approach}}},
  shorttitle = {Unlocking the {{Power}} of {{Voice}} for {{Financial Risk Prediction}}},
  author = {Yang, Yi and Qin, Yu and Fan, Yangyang and Zhang, Zhongju},
  year = {2023},
  month = mar,
  journal = {MIS Quarterly},
  volume = {47},
  number = {1},
  pages = {63--96},
  issn = {02767783, 21629730},
  doi = {10.25300/MISQ/2022/17062},
  abstract = {Unstructured multimedia data (text and audio) provides unprecedented opportunities to derive actionable decision-making in the financial industry, in areas such as portfolio and risk management. However, due to formidable methodological challenges, the promise of business value from unstructured multimedia data has not materialized. In this study, we use a design science approach to develop DeepVoice, a novel nonverbal predictive analysis system for financial risk prediction, in the setting of quarterly earnings conference calls. DeepVoice forecasts financial risk by leveraging not only what managers say (verbal linguistic cues) but also how managers say it (vocal cues) during the earnings conference calls. The design of DeepVoice addresses several challenges associated with the analysis of nonverbal communication. We also propose a two-stage deep learning model to effectively integrate managers' sequential vocal and verbal cues. Using a unique dataset of 6,047 earnings call samples (audio recordings and textual transcripts) of S\&P 500 firms across four years, we show that DeepVoice yields remarkably lower risk forecast errors than that achieved by previous efforts. The improvement can also translate into nontrivial economic gains in options trading. The theoretical and practical implications of analyzing vocal cues are discussed.}
}"
33,Cooperative Control for Multi-Intersection Traffic Signal Based on Deep Reinforcement Learning and Imitation Learning,Y. Huo; Q. Tao; J. Hu,2020.0,IEEE Access,10.1109/ACCESS.2020.3034419,2020.0,IEEE Journals,,1,1,1,1,1,1,1,1,1,"'@article{Huo2020199573,
  title = {Cooperative {{Control}} for {{Multi-Intersection Traffic Signal Based}} on {{Deep Reinforcement Learning}} and {{Imitation Learning}}},
  author = {Huo, Yusen and Tao, Qinghua and Hu, Jianming},
  year = {2020},
  journal = {IEEE Access},
  volume = {8},
  pages = {199573--199585},
  issn = {2169-3536},
  doi = {10.1109/ACCESS.2020.3034419},
  copyright = {https://creativecommons.org/licenses/by-nc-nd/4.0/}
}"
34,Learning to Optimize Vehicle Routes Problem: A Two-Stage Hybrid Reinforcement Learning,W. Zhang; X. Wang,2023.0,"2023 International Conference on Sensing, Measurement & Data Analytics in the era of Artificial Intelligence (ICSMD)",10.1109/ICSMD60522.2023.10490595,2023.0,IEEE Conferences,,1,1,1,1,1,1,1,1,1,"'@inproceedings{Zhang20231,
  title = {Learning to {{Optimize Vehicle Routes Problem}}: {{A Two-Stage Hybrid Reinforcement Learning}}},
  shorttitle = {Learning to {{Optimize Vehicle Routes Problem}}},
  booktitle = {2023 {{International Conference}} on {{Sensing}}, {{Measurement}} \&amp; {{Data Analytics}} in the Era of {{Artificial Intelligence}} ({{ICSMD}})},
  author = {Zhang, Wenqiang and Wang, Xiaomeng},
  year = {2023},
  month = nov,
  pages = {1--6},
  publisher = {IEEE},
  address = {Xi'an, China},
  doi = {10.1109/ICSMD60522.2023.10490595},
  copyright = {https://doi.org/10.15223/policy-029},
  isbn = {979-8-3503-1801-2}
}"
35,Robust Fine-Grained Visual Recognition With Neighbor-Attention Label Correction,S. Mao; S. Zhang,2024.0,IEEE Transactions on Image Processing,10.1109/TIP.2024.3378461,2024.0,IEEE Journals,,1,1,1,1,1,1,1,1,1,"'@article{Mao20242614,
  title = {Robust {{Fine-Grained Visual Recognition With Neighbor-Attention Label Correction}}},
  author = {Mao, Shunan and Zhang, Shiliang},
  year = {2024},
  journal = {IEEE Transactions on Image Processing},
  volume = {33},
  pages = {2614--2626},
  issn = {1057-7149, 1941-0042},
  doi = {10.1109/TIP.2024.3378461},
  copyright = {https://ieeexplore.ieee.org/Xplorehelp/downloads/license-information/IEEE.html}
}"
