id,Name,Author,Year,Publication Name,DOI,Publication Year,Database,Publication Type
11,Effective Big Data Retrieval Using Deep Learning Modified Neural Networks,Prasanth T.; Gunasekaran M.,2019,Mobile Networks and Applications,10.1007/s11036-018-1204-y,2019,Scopus,
12,SuperMeshing: Boosting the Mesh Density of Stress Field in Plane-Strain Problems Using Deep Learning Method,"Xu, HD; Nie, ZG; Xu, QF; Li, YG; Xie, FG; Liu, XJ",2023,JOURNAL OF COMPUTING AND INFORMATION SCIENCE IN ENGINEERING,10.1115/1.4054687,2023,WoS,
13,A Novel Resource Optimization Algorithm Based on Clustering and Improved Differential Evolution Strategy Under a Cloud Environment,"Zhou, Z; Li, FM; Yang, SQ",2021,ACM TRANSACTIONS ON ASIAN AND LOW-RESOURCE LANGUAGE INFORMATION PROCESSING,10.1145/3462761,2021,WoS,
14,Predicting longitudinal dispersion coefficient using ensemble models and optimized multi-layer perceptron models,"Gholami, M; Ghanbari-Adivi, E; Ehteram, M; Singh, VP; Ahmed, AN; Mosavi, A; El-Shafie, A",2023,AIN SHAMS ENGINEERING JOURNAL,10.1016/j.asej.2023.102223,2023,WoS,
15,Coronavirus Optimization Algorithm: A Bioinspired Metaheuristic Based on the COVID-19 Propagation Model,"Martínez-Alvarez, F; Asencio-Cortés, G; Torres, JF; Gutiérrez-Avilés, D; Melgar-García, L; Pérez-Chacón, R; Rubio-Escudero, C; Riquelme, JC; Troncoso, A",2020,BIG DATA,10.1089/big.2020.0051,2020,WoS,
16,Suggesting a Stochastic Fractal Search Paradigm in Combination with Artificial Neural Network for Early Prediction of Cooling Load in Residential Buildings,"Moayedi, H; Mosavi, A",2021,ENERGIES,10.3390/en14061649,2021,WoS,
17,Meta-Heuristic Optimization of LSTM-Based Deep Network for Boosting the Prediction of Monkeypox Cases,"Eid, MM; El-Kenawy, EM; Khodadadi, N; Mirjalili, S; Khodadadi, E; Abotaleb, M; Alharbi, AH; Abdelhamid, AA; Ibrahim, A; Amer, GM; Kadi, A; Khafaga, DS",2022,MATHEMATICS,10.3390/math10203845,2022,WoS,
18,Support Vector Regression Integrated with Fruit Fly Optimization Algorithm for River Flow Forecasting in Lake Urmia Basin,"Samadianfard, S; Jarhan, S; Salwana, E; Mosavi, A; Shamshirband, S; Akib, S",2019,WATER,10.3390/w11091934,2019,WoS,
19,A Hybrid Deep Learning-Based Unsupervised Anomaly Detection in High Dimensional Data,"Muneer, A; Taib, SM; Fati, SM; Balogun, AO; Aziz, IA",2022,CMC-COMPUTERS MATERIALS & CONTINUA,10.32604/cmc.2022.021113,2022,WoS,
20,Bone age assessment using convolutional neural networks,S. Wang; Y. Shen; D. Zeng; Y. Hu,2018,2018 International Conference on Artificial Intelligence and Big Data (ICAIBD),10.1109/ICAIBD.2018.8396189,2018,IEEE Conferences,
21,A Intrusion Detection Model Based on Convolutional Neural Network and Feature Selection,L. Zhang; C. Xu,2022,2022 5th International Conference on Artificial Intelligence and Big Data (ICAIBD),10.1109/ICAIBD55127.2022.9820384,2022,IEEE Conferences,
22,Privacy-preserving deep learning,R. Shokri; V. Shmatikov,2015,"2015 53rd Annual Allerton Conference on Communication, Control, and Computing (Allerton)",10.1109/ALLERTON.2015.7447103,2015,IEEE Conferences,
23,Improved Multi-Agent Deep Deterministic Policy Gradient for Path Planning-Based Crowd Simulation,S. Zheng; H. Liu,2019,IEEE Access,10.1109/ACCESS.2019.2946659,2019,IEEE Journals,
24,Hybrid Optimization Algorithm for Detection of Security Attacks in IoT-Enabled Cyber-Physical Systems,A. Sagu; N. S. Gill; P. Gulia; I. Priyadarshini; J. M. Chatterjee,2024,IEEE Transactions on Big Data,10.1109/TBDATA.2024.3372368,2024,IEEE Early Access Articles,
25,Improved Double Deep Q Network-Based Task Scheduling Algorithm in Edge Computing for Makespan Optimization,L. Zeng; Q. Liu; S. Shen; X. Liu,2024,Tsinghua Science and Technology,10.26599/TST.2023.9010058,2024,TUP Journals,
26,Learning-Based Application-Agnostic 3D NoC Design for Heterogeneous Manycore Systems,B. K. Joardar; R. G. Kim; J. R. Doppa; P. P. Pande; D. Marculescu; R. Marculescu,2019,IEEE Transactions on Computers,10.1109/TC.2018.2889053,2019,IEEE Journals,
27,WOA plus BRNN: An imbalanced big data classification framework using Whale optimization and deep neural network,"Hassib, EM; El-Desouky, AI; Labib, LM; El-kenawy, ESM",2020,SOFT COMPUTING,10.1007/s00500-019-03901-y,2020,WoS,
28,Unsupervised Land Cover Classification of Hybrid and Dual-Polarized Images Using Deep Convolutional Neural Network,A. Chatterjee; J. Saha; J. Mukherjee; S. Aikat; A. Misra,2021,IEEE Geoscience and Remote Sensing Letters,10.1109/LGRS.2020.2993095,2021,IEEE Journals,
29,Reliability Analysis of Power Distribution Network Based on PSO-DBN,H. Shan; Y. Sun; W. Zhang; A. Kudreyko; L. Ren,2020,IEEE Access,10.1109/ACCESS.2020.3007776,2020,IEEE Journals,
30,A Comprehensive Survey on Training Acceleration for Large Machine Learning Models in IoT,H. Wang; Z. Qu; Q. Zhou; H. Zhang; B. Luo; W. Xu; S. Guo; R. Li,2022,IEEE Internet of Things Journal,10.1109/JIOT.2021.3111624,2022,IEEE Journals,
31,Machine Learning in Business Process Monitoring: A Comparison of Deep Learning and Classical Approaches Used for Outcome Prediction,"Kratsch, Wolfgang; Manderscheid, Jonas; Röglinger, Maximilian; Seyfried, Johannes",2021,Business & Information Systems Engineering,https://aisel.aisnet.org/bise/vol63/iss3/5,2021,Aisel,
32,Unlocking the Power of Voice for Financial Risk Prediction: A Theory-Driven Deep Learning Design Approach,"Yang, Yi; Qin, Yu; Fan, Yangyang; Zhang, Zhongju",2023,Management Information Systems Quarterly,https://aisel.aisnet.org/misq/vol47/iss1/5,2023,Aisel,
33,Cooperative Control for Multi-Intersection Traffic Signal Based on Deep Reinforcement Learning and Imitation Learning,Y. Huo; Q. Tao; J. Hu,2020,IEEE Access,10.1109/ACCESS.2020.3034419,2020,IEEE Journals,
34,Learning to Optimize Vehicle Routes Problem: A Two-Stage Hybrid Reinforcement Learning,W. Zhang; X. Wang,2023,"2023 International Conference on Sensing, Measurement & Data Analytics in the era of Artificial Intelligence (ICSMD)",10.1109/ICSMD60522.2023.10490595,2023,IEEE Conferences,
35,Robust Fine-Grained Visual Recognition With Neighbor-Attention Label Correction,S. Mao; S. Zhang,2024,IEEE Transactions on Image Processing,10.1109/TIP.2024.3378461,2024,IEEE Journals,
36,Real-time Optimization Algorithm for Intelligent Logistics Transportation Routes Based on Big Data Analysis,Wang J,2024,Association for Computing Machinery,10.1145/3662739.3672306,2024,ACM,Conference Paper
37,Optimisation algorithm-based recurrent neural network for big data classification,"Akhtar MM,Ahamad D,AlamHameed S",2021,Inderscience Publishers,10.1504/ijiids.2021.114527,2021,ACM,Journal Article
38,Exponential Chimp Optimization Algorithm based Deep Neuro‐Fuzzy Network with MapReduce framework for fake news detection in big data analytics,"Kanchanamala P,Selva Rani B,Vairamuthu S",2023,"John Wiley & Sons, Inc.",10.1002/acs.3645,2023,ACM,Journal Article
39,Real-Time Controllable Optimization Algorithm for Correlated Big Data in Cloud Computing Environment,"Li R,Pu Z,Choi JM",2022,IOS Press,10.1155/2022/7025597,2022,ACM,Journal Article
40,Big data-driven scheduling optimization algorithm for Cyber–Physical Systems based on a cloud platform,"Niu C,Wang L",2022,Elsevier Science Publishers B. V.,10.1016/j.comcom.2021.10.020,2022,ACM,Journal Article
41,Machine Learning in Business Process Monitoring: A Comparison of Deep Learning and Classical Approaches Used for Outcome Prediction,,,,,,,
42,Advanced Deep Learning Model for Predicting the Academic Performances of Students in Educational Institutions,"Baniata, LH; Kang, S; Alsharaiah, MA; Baniata, MH",2024,APPLIED SCIENCES-BASEL,10.3390/app14051963,2024,WoS,
43,Multi-site fMRI analysis using privacy-preserving fe derate d learning and domain adaptation: ABIDE results,"Li, XX; Gu, YF; Dvornek, N; Staib, LH; Ventola, P; Duncan, JS",2020,MEDICAL IMAGE ANALYSIS,10.1016/j.media.2020.101765,2020,WoS,
44,A TLBO-Tuned Neural Processor for Predicting Heating Load in Residential Buildings,"Almutairi, K; Algarni, S; Alqahtani, T; Moayedi, H; Mosavi, A",2022,SUSTAINABILITY,10.3390/su14105924,2022,WoS,
45,A comprehensive framework for hand gesture recognition using hybrid-metaheuristic algorithms and deep learning models,"Mohyuddin, H; Moosavi, SKR; Zafar, MH; Sanfilippo, F",2023,ARRAY,10.1016/j.array.2023.100317,2023,WoS,
46,Deep Learning and Big Data Integration with Cuckoo Search Optimization for Robust Phishing Attack Detection,B. B. Gupta; A. Gaurav; J. Wu; V. Arya; K. T. Chui,2024,ICC 2024 - IEEE International Conference on Communications,10.1109/ICC51166.2024.10622646,2024,IEEE Conferences,
47,An Intrusion Detection Approach using Hierarchical Deep Learning-based Butterfly Optimization Algorithm in Big Data Platform,Manoranjithem; S. Dhanasekaran; A. Asokan; A. Kumar; C. Yamini; M. Tiwari,2023,2023 International Conference on Intelligent Data Communication Technologies and Internet of Things (IDCIoT),10.1109/IDCIoT56793.2023.10053504,2023,IEEE Conferences,
48,Semi-Supervised Discovery of DNN-Based Outcome Predictors from Scarcely-Labeled Process Logs,"Folino, Francesco; Folino, Gianluigi; Guarascio, Massimo; Pontieri, Luigi",2023,Business & Information Systems Engineering,https://aisel.aisnet.org/bise/vol64/iss6/3,2023,Aisel,
49,Predictive End-to-End Enterprise Process Network Monitoring,"Oberdorf, Felix; Schaschek, Myriam; Weinzierl, Sven; Stein, Nikolai; Matzner, Martin; Flath, Christoph M.",2023,Business & Information Systems Engineering,https://aisel.aisnet.org/bise/vol65/iss1/4,2023,Aisel,
50,Creating Proactive Cyber Threat Intelligence with Hacker Exploit Labels: A Deep Transfer Learning Approach,"Ampel, Benjamin M.; Samtani, Sagar; Zhu, Hongyi; Chen, Hsinchun",2024,Management Information Systems Quarterly,https://aisel.aisnet.org/misq/vol48/iss1/7,2024,Aisel,
51,Go to You Tube and Call Me in the Morning:  Use of Social Media for Chronic Conditions,"Liu, Xiao; Zhang, Bin; Susarla, Anjana; Padman, Rema",2020,Management Information Systems Quarterly,https://aisel.aisnet.org/misq/vol44/iss1/12,2020,Aisel,
52,Enhancing Social Media Analysis with Visual Data Analytics:  A Deep Learning Approach,"Shin, Donghyuk; He, Shu; Lee, Gene M.; WHINSTON, ANDREW B.; Centintas, Suleyman; Lee, Kuang-Chih",2020,Management Information Systems Quarterly,https://aisel.aisnet.org/misq/vol44/iss4/3,2020,Aisel,
53,A Novel Business Process Prediction Model Using a DeepLearning Method,"Mehdiyev, Nijat; Fettke, Peter; Evermann, Joerg",2020,Business & Information Systems Engineering,https://aisel.aisnet.org/bise/vol62/iss2/5,2020,Aisel,
54,Wearable Sensor-Based Chronic Condition Severity Assessment: An Adversarial Attention-Based Deep Multisource Multitask Learning Approach,"Yu, Shuo; Chai, Yidong; Chen, Hsinchun; Sherman, Scott J.; Brown, Randall A.",2022,Management Information Systems Quarterly,https://aisel.aisnet.org/misq/vol46/iss3/7,2022,Aisel,
55,A Deep Learning Approach for Recognizing Activity of Daily Living (ADL) for Senior Care:  Exploiting Interaction Dependency and Temporal Patterns,"Zhu, Hongyi; Samtani, Sagar; Brown, Randall A.; Chen, Hsinchun",2021,Management Information Systems Quarterly,https://aisel.aisnet.org/misq/vol45/iss2/13,2021,Aisel,
56,"Time series big data: a survey on data stream frameworks, analysis and algorithms",Ana AlmeidaSusana BrásSusana SargentoFilipe Cabral Pinto,2023,Journal of Big Data,10.1186/s40537-023-00760-1,2023,Springer,Ana AlmeidaSusana BrásSusana SargentoFilipe Cabral Pinto
57,Artificial Intelligence Based Methods for Retrofit Projects: A Review of Applications and Impacts,Nicoleta BocanealaMohammad MayoufEdlira VakajMark Shelbourn,2024,Archives of Computational Methods in Engineering,10.1007/s11831-024-10159-7,2024,Springer,Nicoleta BocanealaMohammad MayoufEdlira VakajMark Shelbourn
58,AI-Based on Machine Learning Methods for Urban Real Estate Prediction: A Systematic Survey,Stéphane C. K. TekouabouŞtefan Cristian GherghinaEric Désiré KameniYoussef FilaliKhalil Idrissi Gartoumi,2024,Archives of Computational Methods in Engineering,10.1007/s11831-023-10010-5,2024,Springer,Stéphane C. K. TekouabouŞtefan Cristian GherghinaEric Désiré KameniYoussef FilaliKhalil Idrissi Gartoumi
59,Prescriptive analytics systems revised: a systematic literature review from an information systems perspective,Christopher WissuchekPatrick Zschech,2024,Information Systems and e-Business Management,10.1007/s10257-024-00688-w,2024,Springer,Christopher WissuchekPatrick Zschech
60,Intelligent Materials Improvement Through Artificial Intelligence Approaches: A Systematic Literature Review,José G. B. A. LimaAnderson S. L. GomesAdiel T. de Almeida-Filho,2024,Archives of Computational Methods in Engineering,10.1007/s11831-024-10163-x,2024,Springer,José G. B. A. LimaAnderson S. L. GomesAdiel T. de Almeida-Filho
61,Artificial Intelligence Based Methods for Smart and Sustainable Urban Planning: A Systematic Survey,Stéphane Cédric Koumetio TekouabouEl Bachir DiopRida AzmiJérôme Chenal,2023,Archives of Computational Methods in Engineering,10.1007/s11831-022-09844-2,2023,Springer,Stéphane Cédric Koumetio TekouabouEl Bachir DiopRida AzmiJérôme Chenal
62,Tracking machine learning models for pandemic scenarios: a systematic review of machine learning models that predict local and global evolution of pandemics,Marcelo Benedeti PalermoLucas Micol PolicarpoCristiano André da CostaRodrigo da Rosa Righi,2022,Network Modeling Analysis in Health Informatics and Bioinformatics,10.1007/s13721-022-00384-0,2022,Springer,Marcelo Benedeti PalermoLucas Micol PolicarpoCristiano André da CostaRodrigo da Rosa Righi
63,A deep LSTM network for the Spanish electricity consumption forecasting,"Torres, JF; Martínez-Alvarez, F; Troncoso, A",2022,NEURAL COMPUTING & APPLICATIONS,10.1007/s00521-021-06773-2,2022,WoS,
64,Intelligent Slime Mould Optimization with Deep Learning Enabled Traffic Prediction in Smart Cities,"Hamza, MA; Alsolai, H; Alzahrani, JS; Alamgeer, M; Sayed, MM; Zamani, A; Yaseen, I; Motwakel, A",2022,CMC-COMPUTERS MATERIALS & CONTINUA,10.32604/cmc.2022.031541,2022,WoS,
65,Towards Modified Entropy Mutual Information Feature Selection to Forecast Medium-Term Load Using a Deep Learning Model in Smart Homes,"Samuel, O; Alzahrani, FA; Khan, RJU; Farooq, H; Shafiq, M; Afzal, MK; Javaid, N",2020,ENTROPY,10.3390/e22010068,2020,WoS,
66,Double-Target Based Neural Networks in Predicting Energy Consumption in Residential Buildings,"Moayedi, H; Mosavi, A",2021,ENERGIES,10.3390/en14051331,2021,WoS,
67,Analysis of the application methods of film and television media and images in the era of big data cloud,"Zhang, Q",2023,APPLIED MATHEMATICS AND NONLINEAR SCIENCES,10.2478/amns.2023.1.00063,2023,WoS,
68,Bayesian Optimization LSTM/bi-LSTM Network With Self-Optimized Structure and Hyperparameters for Remaining Useful Life Estimation of Lathe Spindle Unit,"Thoppil, NM; Vasu, V; Rao, CSP",2022,JOURNAL OF COMPUTING AND INFORMATION SCIENCE IN ENGINEERING,10.1115/1.4052838,2022,WoS,
69,Bayesian-Based Hyperparameter Optimization of 1D-CNN for Structural Anomaly Detection,"Li, XF; Guo, HA; Xu, LX; Xing, ZZ",2023,SENSORS,10.3390/s23115058,2023,WoS,
70,Extended and optimized deep convolutional neural network-based lung tumor identification in big data,"Ananth, AD; Palanisamy, C",2022,INTERNATIONAL JOURNAL OF IMAGING SYSTEMS AND TECHNOLOGY,10.1002/ima.22667,2022,WoS,
71,Ensemble Random Forest-based Gradient Optimization based Energy Efficient Video Processing System for Smart Traffic Surveillance System,"Rajagopal, S; Devi, MU; Jones, GM; Nayagam, MG",2024,IETE JOURNAL OF RESEARCH,10.1080/03772063.2024.2350927,2024,WoS,
72,An automated prediction of remote sensing data of Queensland-Australia for flood and wildfire susceptibility using BISSOA-DBMLA scheme,"Sankaran, KS; Lim, SJ; Bhaskar, SCV",2022,ACTA GEOPHYSICA,10.1007/s11600-022-00925-1,2022,WoS,
73,Unintended Emotional Effects of Online Health Communities: A Text Mining-Supported Empirical Study,"Zhou, Jiaqi; Zhang, Qingpeng; Zhou, Sijia; Li, Xin; Zhang, Xiaoquan (Michael)",2023,Management Information Systems Quarterly,https://aisel.aisnet.org/misq/vol47/iss1/9,2023,Aisel,
74,An Imbalanced Big Data Mining Framework for Improving Optimization Algorithms Performance,E. M. Hassib; A. I. El-Desouky; E. -S. M. El-Kenawy; S. M. El-Ghamrawy,2019,IEEE Access,10.1109/ACCESS.2019.2955983,2019,IEEE Journals,
75,A Fully Streaming Big Data Framework for Cyber Security Based on Optimized Deep Learning Algorithm,N. Hussen; S. M. Elghamrawy; M. Salem; A. I. El-Desouky,2023,IEEE Access,10.1109/ACCESS.2023.3281893,2023,IEEE Journals,
76,A Deep Learning H2O Framework for Emergency Prediction in Biomedical Big Data,A. S. Elsayad; A. I. E. Desouky; M. M. Salem; M. Badawy,2020,IEEE Access,10.1109/ACCESS.2020.2995790,2020,IEEE Journals,
77,Classification of Massive Data Sets Using a Revolutionary Grey Wolf Optimization Algorithm and a Deep Learning Model in a Cloud-Based Setting,P. Anandan; A. Manju; M. R. Reddy,2023,"2023 International Conference on Data Science, Agents & Artificial Intelligence (ICDSAAI)",10.1109/ICDSAAI59313.2023.10452437,2023,IEEE Conferences,
78,Toward Optimally Efficient Search With Deep Learning for Large-Scale MIMO Systems,L. He; K. He; L. Fan; X. Lei; A. Nallanathan; G. K. Karagiannidis,2022,IEEE Transactions on Communications,10.1109/TCOMM.2022.3158367,2022,IEEE Journals,
79,Machine Learning for Large-Scale Optimization in 6G Wireless Networks,Y. Shi; L. Lian; Y. Shi; Z. Wang; Y. Zhou; L. Fu; L. Bai; J. Zhang; W. Zhang,2023,IEEE Communications Surveys & Tutorials,10.1109/COMST.2023.3300664,2023,IEEE Journals,
80,splitDyn: Federated Split Neural Network for Distributed Edge AI Applications,T. A. Khoa; D. -V. Nguyen; M. -S. Dao; K. Zettsu,2022,2022 IEEE International Conference on Big Data (Big Data),10.1109/BigData55660.2022.10020803,2022,IEEE Conferences,
81,Convolutional Neural Network Compression Based on Improved Fractal Decomposition Algorithm for Large Scale Optimization,A. Llanza; F. E. Keddous; N. Shvai; A. Nakib,2023,"2023 IEEE International Conference on Systems, Man, and Cybernetics (SMC)",10.1109/SMC53992.2023.10394477,2023,IEEE Conferences,
82,Emergency Drug Procurement Planning Based on Big-Data Driven Morbidity Prediction,Q. Song; Y. -J. Zheng; Y. -J. Huang; Z. -G. Xu; W. -G. Sheng; J. Yang,2019,IEEE Transactions on Industrial Informatics,10.1109/TII.2018.2870879,2019,IEEE Journals,
83,An Intelligent Big Data Security Framework Based on AEFS-KENN Algorithms for the Detection of Cyber-Attacks from Smart Grid Systems,S. Muthubalaji; N. K. Muniyaraj; S. P. V. S. Rao; K. Thandapani; P. R. Mohan; T. Somasundaram; Y. Farhaoui,2024,Big Data Mining and Analytics,10.26599/BDMA.2023.9020022,2024,TUP Journals,
84,Sorting the Digital Stream: Big Data-driven Insights into Email Classification for Spam and Ham Detection,S. A. Shah; E. A. Arputham; A. Ahmed; M. B. Farah; A. Shah; A. Aziz,2023,2023 IEEE International Conference on Big Data (BigData),10.1109/BigData59044.2023.10386224,2023,IEEE Conferences,
85,Individual Recognition of Big Data Radar Digital Waveform Based on Long Short-Term Memory Network,Y. Jiang; W. Sheng; D. Cheng; L. Xiang; R. Song; W. Jiang,2023,"2023 IEEE 3rd International Conference on Information Technology, Big Data and Artificial Intelligence (ICIBA)",10.1109/ICIBA56860.2023.10165161,2023,IEEE Conferences,
86,Large-Scale Mobile App Identification Using Deep Learning,S. Rezaei; B. Kroencke; X. Liu,2020,IEEE Access,10.1109/ACCESS.2019.2962018,2020,IEEE Journals,
87,Big Vibration Data Diagnosis of Bearing Fault Base on Feature Representation of Autoencoder and Optimal LSSVM-CRO Classifier Model,V. Nguyen; T. Dung Hoang; V. Thai; X. Nguyen,2019,2019 International Conference on System Science and Engineering (ICSSE),10.1109/ICSSE.2019.8823332,2019,IEEE Conferences,
88,Adaptive Deep Learning Model for Air Pollution Analysis Using Meteorological Big Data,S. Suganya; T. Meyyappan,2021,"2021 2nd International Conference on Communication, Computing and Industry 4.0 (C2I4)",10.1109/C2I454156.2021.9689298,2021,IEEE Conferences,
89,An Improved Yin-Yang-Pair Optimization Algorithm Based on Elite Strategy and Adaptive Mutation Method for Big Data Analytics,"Xu H,Ding M,Lu Y,Ye Z",2023,Springer-Verlag,10.1007/978-3-031-25158-0_1,2023,ACM,Conference Paper
90,An intrusion detection approach using ensemble Support Vector Machine based Chaos Game Optimization algorithm in big data platform,"Ponmalar A,Dhanakoti V",2022,Elsevier Science Publishers B. V.,10.1016/j.asoc.2021.108295,2022,ACM,Journal Article
91,A New Distributed and Decentralized Stochastic Optimization Algorithm with Applications in Big Data Analytics,"Shahbazian R,Grandinetti L,Guerriero F",2019,Springer-Verlag,10.1007/978-3-030-13709-0_7,2019,ACM,Conference Paper
92,Feature selection based on an improved cat swarm optimization algorithm for big data classification,"Lin KC,Zhang KY,Huang YH,Hung JC,Yen N",2016,Kluwer Academic Publishers,10.1007/s11227-016-1631-0,2016,ACM,Journal Article
93,Developing a Novel Hybrid Biogeography-Based Optimization Algorithm for Multilayer Perceptron Training under Big Data Challenge,"Pu X,Chen S,Yu X,Zhang L",2018,Hindawi Limited,10.1155/2018/2943290,2018,ACM,Journal Article
94,Machine Learning and Computational Mathematics: Studies of Accelerating Polymer Phase Discovery and Finding Optimal Policies for a Pandemic,"Xuan Y,J. Garcia-Cervera C,H Fredrickson G",2021,"University of California, Santa Barbara",,2021,ACM,Ph.D. Thesis
95,Fast correlated-photon imaging enhanced by deep learning,Li Z.-M.; Wu S.-B.; Gao J.; Zhou H.; Yan Z.-Q.; Ren R.-J.; Yin S.-Y.; Jin X.-M.,2021,Optica,10.1364/OPTICA.408843,2021,Scopus,
96,An effective structure of multi-modal deep convolutional neural network with adaptive group teaching optimization,Gupta V.; Pawar S.,2022,Soft Computing,10.1007/s00500-022-07107-7,2022,Scopus,
97,Blockchain based Securing Medical Records in Big Data Analytics,Marichamy V.S.; Natarajan V.,2023,Data and Knowledge Engineering,10.1016/j.datak.2022.102122,2023,Scopus,
98,Distributed hierarchical deep optimization for federated learning in mobile edge computing,Zheng X.; Shah S.B.H.; Bashir A.K.; Nawaz R.; Rana U.,2022,Computer Communications,10.1016/j.comcom.2022.07.028,2022,Scopus,
99,Fuzzy Local Information and Bhattacharya-Based C-Means Clustering and Optimized Deep Learning in Spark Framework for Intrusion Detection,Bouya-Moko B.E.; Boahen E.K.; Wang C.,2022,Electronics (Switzerland),10.3390/electronics11111675,2022,Scopus,
100,Improved Metaheuristics with Deep Autoencoders for COVID-19 Detection and Classification,Assudani M.K.; Nirmala B.; Kanimozhi N.; Chandre S.; Sunalini K.K.; Gopatoti A.,2023,"2023 2nd International Conference on Electrical, Electronics, Information and Communication Technologies, ICEEICT 2023",10.1109/ICEEICT56924.2023.10156986,2023,Scopus,
101,Predictions of the Key Operating Parameters in Waste Incineration Using Big Data and a Multiverse Optimizer Deep Learning Model,Zhao Z.; Zhou Z.; Lu Y.; Li Z.; Wei Q.; Xu H.,2023,Sustainability (Switzerland),10.3390/su151914530,2023,Scopus,
102,Hybrid Whale Tabu algorithm optimized convolutional neural network architecture for intrusion detection in big data,Ponmalar A.; Dhanakoti V.,2022,Concurrency and Computation: Practice and Experience,10.1002/cpe.7038,2022,Scopus,
103,Hyperparameter Tuned Deep Learning Enabled Intrusion Detection on Internet of Everything Environment,Hamza M.A.; Abdalla Hashim A.H.; Mohamed H.G.; Alotaibi S.S.; Mahgoub H.; Mehanna A.S.; Motwakel A.,2022,"Computers, Materials and Continua",10.32604/cmc.2022.031303,2022,Scopus,
104,Modified Buffalo Optimization with Big Data Analytics Assisted Intrusion Detection Model,Sheeba R.; Sharmila R.; Alkhayyat A.; Malik R.Q.,2023,Computer Systems Science and Engineering,10.32604/csse.2023.034321,2023,Scopus,
105,Cyber Forensic Investigation in IoT Using Deep Learning Based Feature Fusion in Big Data,Thapaliya S.; Sharma P.K.,2023,International Journal of Wireless Information Networks,10.1007/s10776-022-00586-3,2023,Scopus,
106,Spotted Hyena Optimizer Driven Deep Learning-Based Drug-Drug Interaction Prediction in Big Data Environment,Mohammed Jasim M.J.; Kak S.F.; Ageed Z.S.; Zeebaree S.R.M.,2023,Computer Systems Science and Engineering,10.32604/csse.2023.037580,2023,Scopus,
107,State-of-health and remaining-useful-life estimations of lithium-ion battery based on temporal convolutional network-long short-term memory,Li C.; Han X.; Zhang Q.; Li M.; Rao Z.; Liao W.; Liu X.; Liu X.; Li G.,2023,Journal of Energy Storage,10.1016/j.est.2023.109498,2023,Scopus,
108,Evolutionary Algorithm Based Feature Subset Selection for Students Academic Performance Analysis,Babu I.; Mathusoothana R.; Kumar S.,2023,Intelligent Automation and Soft Computing,10.32604/iasc.2023.033791,2023,Scopus,
109,LightAdam: Towards a Fast and Accurate Adaptive Momentum Online Algorithm,Zhou Y.; Huang K.; Cheng C.; Wang X.; Liu X.,2022,Cognitive Computation,10.1007/s12559-021-09985-9,2022,Scopus,
110,Hybrid optimization enabled deep learning and spark architecture using big data analytics for stock market forecasting,Kanchanamala P.; Karnati R.; Bhaskar Reddy P.V.,2023,Concurrency and Computation: Practice and Experience,10.1002/cpe.7618,2023,Scopus,
