"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Hybrid Nature-Inspired Based Oversampling and Feature Selection Approach for Imbalance Data Streams Classification","M. Arya; B. K. Dewangan; M. Verma; M. Rohini; A. Motwani; S. K. Sar","Dept. Of Computer Science & Engineering, Bhilai Institute of Technology, Durg CG, India; Dept. of computer Science Engineering, OP Jindal University, Raigarh, India; Dept. of computer Science & Engineering, Bhilai Institute of Technology, Durg, India; Dept. of computer Science & Engineering, Sri Krishna College of Engineering and Technology, Coimbatore, India; School of Computing Science & Engineering, VIT Bhopal University, Sehore MP, India; Dept. of computer Science & Engineering, Bhilai Institute of Technology, Durg, India",2022 OPJU International Technology Conference on Emerging Technologies for Sustainable Development (OTCON),"8 May 2023","2023","","","1","6","A big data stream is described using 5 $\mathrm{V}prime$s (Volume, Variety, Velocity, Variability, and Veracity). These characteristics impose various challenges. In many cases, data streams are unbalanced, making traditional data mining approaches impossible to employ. The standard data mining approaches are not suitable for imbalanced data streams for achieving analytical efficiency because they require periodic analyses, but big data requires real-time analytics. Additionally, the induction model must be re-run and rebuilt each time to add up the most recent data. Mining these unique streams, on the other hand, is one of the most intriguing research areas. Deep learning (DL) algorithms were developed to increase classification performance for issues requiring large data sets with varying types and characteristics. Feature selection (F.S.) is a critical stage in any classification application. F.S. entails eliminating superfluous and redundant characteristics, resulting in a prediction model that is more efficient, interpretable, and fast. While complete solutions are available for F.S., managing massive data streams that need instantaneous processing is challenging by its own nature. This work provides a hybrid metaheuristic strategy with FFSMOTE for oversampling imbalanced data stream and Honey Bee algorithm for feature selection. Hybridization aims to improve feature selection processes by combing the advantage of both the algorithms. Furthermore, the Ensemble Deep classifiers are used for data stream classification.","","978-1-6654-9294-2","10.1109/OTCON56053.2023.10113972","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10113972","Big Data;Data Stream;Data Mining;Deep Learning;Feature Selection;SMOTE Algorithm;Honey-Bee Algorithm;Ensemble;Classification.","Metaheuristics;Big Data;Predictive models;Feature extraction;Prediction algorithms;Real-time systems;Classification algorithms","","2","","19","IEEE","8 May 2023","","","IEEE","IEEE Conferences"
"Truck Traffic Speed Prediction Under Non-Recurrent Congestion: Based on Optimized Deep Learning Algorithms and GPS Data","J. Zhao; Y. Gao; Z. Yang; J. Li; Y. Feng; Z. Qin; Z. Bai","Key Laboratory of Transport Industry of Big Data Application Technologies for Comprehensive Transport, Ministry of Transport, Beijing Jiaotong University, Beijing, China; School of Mechanical, Electronic and Control Engineering, Beijing Jiaotong University, Beijing, China; School of Traffic and Transportation, Beijing Jiaotong University, Beijing, China; School of Traffic and Transportation, Beijing Jiaotong University, Beijing, China; School of Traffic and Transportation, Beijing Jiaotong University, Beijing, China; School of Traffic and Transportation, Beijing Jiaotong University, Beijing, China; School of Mechanical, Electronic and Control Engineering, Beijing Jiaotong University, Beijing, China",IEEE Access,"29 Jan 2019","2019","7","","9116","9127","Due to the restriction of traffic management measure in large cities, large heavy-haul trucks can only travel on the circuits and expressways around the city, which often causes congestion in these areas. It is necessary to study the travel speed prediction of trucks on the urban ring road and provide special information services for trucks. Based on the data generated by the trucks driving on the Sixth Ring Road in Beijing, an optimized GRU algorithm is proposed to predict the travel speed of trucks driving on urban express roads under non-recurrent congested conditions. First, a GPS map-matching algorithm that can simultaneously meet the accuracy and efficiency requirements of matching is proposed. Then, the trucks' data traveling on the Sixth Ring Road in Beijing are extracted from the original data. Aiming at getting rid of the abnormal data in GPS data, the screening and processing rules of the abnormal data are made, and then, the traffic speed sequence is extracted. Aiming at the problem that the commonly used weight optimization algorithm SGD cannot adaptively adjust the learning rate, Adam, Adadelta, and Rmsprop are used to optimize the weights in the GRU model in this paper. Considering the four scenarios, including workday, weekend, rainy, and accident, the accuracies of the proposed methods are verified.","2169-3536","","10.1109/ACCESS.2018.2890414","Fundamental Research Funds for the Central Universities(grant numbers:2018YJS138); National Natural Science Foundation of China(grant numbers:71871011,71871010,71621001,71671014); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8598930","GPS data;GRU model;optimization algorithm;traffic congestion;traffic speed prediction","Global Positioning System;Prediction algorithms;Roads;Deep learning;Automobiles;Predictive models;Urban areas","","47","","34","OAPA","1 Jan 2019","","","IEEE","IEEE Journals"
"Sorting the Digital Stream: Big Data-driven Insights into Email Classification for Spam and Ham Detection","S. A. Shah; E. A. Arputham; A. Ahmed; M. B. Farah; A. Shah; A. Aziz","School of Computing and Digital Technology, Birmingham City University, STEAMhouse, Birmingham, United Kingdom; School of Computing and Digital Technology, Birmingham City University, STEAMhouse, Birmingham, United Kingdom; School of Computer Science and Engineering, University of Electronic Science and Technology of China, Sichuan, China; School of Computing and Digital Technology, Birmingham City University, STEAMhouse, Birmingham, United Kingdom; Department of Computer Engineering, Faculty of ICT BUITEMS, Quetta, Pakistan; Aragon Institute of Engineering Research, Universidad de Zaragoza, Zaragoza, Spain",2023 IEEE International Conference on Big Data (BigData),"22 Jan 2024","2023","","","5598","5607","In contemporary email communication, the ever- expanding volume of digital correspondence has ushered in an era where big data plays a pivotal role in addressing the challenge of distinguishing between legitimate (ham) and unsolicited (spam) emails. The primary objective of this paper is the meticulous identification and establishment of criteria for the discrimination between ham and spam emails. To achieve this, the study harnesses data from three distinct datasets, aiming to identify common attributes shared across all emails, irrespective of their classification, while concurrently devising methodologies for precise spam detection. Central to this endeavor is the evaluation of the effectiveness of feature selection techniques, specifically Chi-Square and Pearson Correlation, in elevating the accuracy of email classification. The investigation extends to assessing how the combination of these feature selection techniques with the broader machine learning framework can be optimized. This optimization entails the application of diverse preprocessing techniques to the datasets, all designed to amplify the precision of email classification. Furthermore, this research scrutinizes the performance evaluation metrics employed in the assessment of email classifiers. By conducting comprehensive experiments, the study identifies optimal classifiers based on rigorous evaluation metrics. This contributes valuable insights to the toolkit of techniques for proficient email classification within the realm of big data analysis.","","979-8-3503-2445-7","10.1109/BigData59044.2023.10386224","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10386224","Machine Learning;Classification;Email Spam Detection;Decision Tree;Naive Bayes;Artificial Neural Network;Data Pre-processing;Feature Selection","Performance evaluation;Correlation;Unsolicited e-mail;Machine learning;Big Data;Feature extraction;Object recognition","","","","32","IEEE","22 Jan 2024","","","IEEE","IEEE Conferences"
"Deep Learning-Based Resource Allocation in UAV-RIS-Aided Cell-Free Hybrid NOMA/OMA Networks","C. Huang; G. Chen; Y. Wen; Z. Lin; Y. Xiao; P. Xiao","5GIC & 6GIC, Institute for Communication Systems (ICS), University of Surrey, United Kingdom; 5GIC & 6GIC, Institute for Communication Systems (ICS), University of Surrey, United Kingdom; 5GIC & 6GIC, Institute for Communication Systems (ICS), University of Surrey, United Kingdom; School of Electrical and Information Engineering, University of Sydney, Australia; National Key Laboratory of Science and Technology on Communications, UESTC, China; 5GIC & 6GIC, Institute for Communication Systems (ICS), University of Surrey, United Kingdom",GLOBECOM 2023 - 2023 IEEE Global Communications Conference,"26 Feb 2024","2023","","","5641","5646","This paper investigates a deep learning-based algorithm to optimize the unmanned aerial vehicle (UAV) trajectory and reconfigurable intelligent surface (RIS) reflection coefficients in UAV-RIS-aided cell-free (CF) hybrid non-orthogonal multiple-access (NOMA)/orthogonal multiple-access (OMA) networks. The practical RIS reflection model and user grouping optimization are considered in the proposed network. A double cascade correlation network (DCCN) is proposed to optimize the RIS reflection coefficients, and based on the results from DCCN, an inverse-variance deep reinforcement learning (IV-DRL) algorithm is introduced to address the UAV trajectory optimization problem. Simulation results show that the proposed algorithms significantly improve the performance in UAV-RIS-assisted CF networks.","2576-6813","979-8-3503-1090-0","10.1109/GLOBECOM54140.2023.10437110","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10437110","Reconfigurable intelligent surface;unmanned aerial vehicle;reinforcement learning;deep learning","Correlation;Simulation;Reconfigurable intelligent surfaces;Autonomous aerial vehicles;Reflection coefficient;Resource management;Trajectory optimization","","1","","27","IEEE","26 Feb 2024","","","IEEE","IEEE Conferences"
"Individual Recognition of Big Data Radar Digital Waveform Based on Long Short-Term Memory Network","Y. Jiang; W. Sheng; D. Cheng; L. Xiang; R. Song; W. Jiang","Early Warning Academy, Wuhan, China; Early Warning Academy, Wuhan, China; Early Warning Academy, Wuhan, China; Early Warning Academy, Wuhan, China; Early Warning Academy, Wuhan, China; Early Warning Academy, Wuhan, China","2023 IEEE 3rd International Conference on Information Technology, Big Data and Artificial Intelligence (ICIBA)","6 Jul 2023","2023","3","","857","862","Individual recognition of Big Data radar digital waveform is based on the classification of target individuals using radar target waveform. Traditional recognition methods suffer from problems such as low accuracy and complex recognition processes. To address these issues, this paper proposes an individual recognition method for radar digital waveform based on Long Short-Term Memory (LSTM) network. The actual collected radar target digital waveform is simulated to generate big data of radar digital waveform, and then the basic frequency domain feature data is constructed. The LSTM network is used to extract the individual data features of the radar, and the network parameters are iteratively trained using the SGD optimization algorithm to achieve effective recognition of individual radar signals. Experimental results show that the radar signal individual recognition method based on LSTM has significantly improved accuracy compared to SVM and XGBOOST methods.","","978-1-6654-9079-5","10.1109/ICIBA56860.2023.10165161","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10165161","individual recognition of radar digital waveform;big data;long short-term memory;fourier transform;confusion matrix","Support vector machines;Target recognition;Frequency-domain analysis;Radar;Big Data;Feature extraction;Radar signal processing","","1","","17","IEEE","6 Jul 2023","","","IEEE","IEEE Conferences"
"Deep Signal Recovery with One-bit Quantization","S. Khobahi; N. Naimipour; M. Soltanalian; Y. C. Eldar","Department of Electrical and Computer Engineering, University of Illinois at Chicago, Chicago, USA; Department of Electrical and Computer Engineering, University of Illinois at Chicago, Chicago, USA; Department of Electrical and Computer Engineering, University of Illinois at Chicago, Chicago, USA; Department of Electrical Engineering, Technion, Israel Institute of Technology, Haifa, Israel","ICASSP 2019 - 2019 IEEE International Conference on Acoustics, Speech and Signal Processing (ICASSP)","17 Apr 2019","2019","","","2987","2991","Machine learning, and more specifically deep learning, have shown remarkable performance in sensing, communications, and inference. In this paper, we consider the application of the deep unfolding technique in the problem of signal reconstruction from its one-bit noisy measurements. Namely, we propose a model-based machine learning method and unfold the iterations of an inference optimization algorithm into the layers of a deep neural network for one-bit signal recovery. The resulting network, which we refer to as DeepRec, can efficiently handle the recovery of high-dimensional signals from acquired one-bit noisy measurements. The proposed method results in an improvement in accuracy and computational efficiency with respect to the original framework as shown through numerical analysis.","2379-190X","978-1-4799-8131-1","10.1109/ICASSP.2019.8683876","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8683876","Deep learning;deep unfolding;MIMO communications;big data;machine learning;neural network;maximum likelihood;one-bit quantization","","","37","","22","IEEE","17 Apr 2019","","","IEEE","IEEE Conferences"
"Face Recognition System Based on CNN","D. Wang; H. Yu; D. Wang; G. Li","Northwest Minzu University, Lanzhou, China; Northwest Minzu University, Lanzhou, China; Northwest Minzu University, Lanzhou, China; Northwest Minzu University, Lanzhou, China",2020 International Conference on Computer Information and Big Data Applications (CIBDA),"27 Jul 2020","2020","","","470","473","With the development of computer vision and artificial intelligence, face recognition is widely used in daily life. As one of the most concerned methods of biometric recognition, face recognition has become one of the research hotspots in the field of computer vision and artificial intelligence. However, face recognition is easily affected by internal and external differences, and it is often difficult for traditional face recognition methods to achieve ideal results. In order to further improve the recognition accuracy of current face recognition algorithms, this paper proposes a face recognition algorithm based on improved convolutional neural network. Experiments show that the improved algorithm can be effectively applied to the data set.","","978-1-7281-9837-8","10.1109/CIBDA50819.2020.00111","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9148141","convolutional neural network CNN;face recognition;optimization algorithm","Optimization;Training;Convolution;Feature extraction;Face recognition;Convolutional neural networks;Kernel","","29","","7","IEEE","27 Jul 2020","","","IEEE","IEEE Conferences"
"Data-Driven Fast Electrostatics and TDDB Aging Analysis","S. Peng; W. Jin; L. Chen; S. X. . -D. Tan","Department of Electrical and Computer Engineering, University of California at Riverside, Riverside, CA; Department of Electrical and Computer Engineering, University of California at Riverside, Riverside, CA; Department of Electrical and Computer Engineering, University of California at Riverside, Riverside, CA; Department of Electrical and Computer Engineering, University of California at Riverside, Riverside, CA",2020 ACM/IEEE 2nd Workshop on Machine Learning for CAD (MLCAD),"9 Apr 2021","2020","","","71","76","Computing the electric potential and electric field is a critical step for modeling and analysis of VLSI chips such as TDDB (Time dependent dielectric breakdown) aging analysis. Data-driven deep learning approach provides new perspectives for learning the physics-law and representations of the physics dynamics from the data. In this work, we propose a new data -driven learning based approach for fast 2D analysis of electric potential and electric fields based on DNNs (deep neural networks). Our work is based on the observation that the synthesized VLSI layout with multi interconnect layers can be viewed as layered images. Image transformation techniques via CNN (convolutional neural network) are adopted for the analysis. Once trained, the model is applicable to any synthesized layout of the same technology. Training and testing are done on a dataset built from a synthesized CPU chip. Results show that the proposed method is around 138x faster than the conventional numerical methods based software COMSOL, while keeping 99% of the accuracy on potential analysis, and 97% for TDDB aging analysis.","","978-1-4503-7519-1","10.1145/3380446.3430623","NSF(grant numbers:CCF-1816361); NSF(grant numbers:CCF-2007135,OISE-1854276); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9394631","Reliability;TDDB;Lifetime;Machine Learning","Training;Electric potential;Neural networks;Layout;Aging;Very large scale integration;Electrostatics","","4","","15","","9 Apr 2021","","","IEEE","IEEE Conferences"
"Data-Driven Fast Electrostatics and TDDB Aging Analysis","S. Peng; W. Jin; L. Chen; S. X. . -D. Tan","Department of Electrical and Computer Engineering, University of California at Riverside, Riverside, CA; Department of Electrical and Computer Engineering, University of California at Riverside, Riverside, CA; Department of Electrical and Computer Engineering, University of California at Riverside, Riverside, CA; Department of Electrical and Computer Engineering, University of California at Riverside, Riverside, CA",2020 ACM/IEEE 2nd Workshop on Machine Learning for CAD (MLCAD),"9 Apr 2021","2020","","","71","76","Computing the electric potential and electric field is a critical step for modeling and analysis of VLSI chips such as TDDB (Time dependent dielectric breakdown) aging analysis. Data-driven deep learning approach provides new perspectives for learning the physics-law and representations of the physics dynamics from the data. In this work, we propose a new data-driven learning based approach for fast 2D analysis of electric potential and electric fields based on DNNs (deep neural networks). Our work is based on the observation that the synthesized VLSI layout with multi interconnect layers can be viewed as layered images. Image transformation techniques via CNN (convolutional neural network) are adopted for the analysis. Once trained, the model is applicable to any synthesized layout of the same technology. Training and testing are done on a dataset built from a synthesized CPU chip. Results show that the proposed method is around 138x faster than the conventional numerical methods based software COMSOL, while keeping 99% of the accuracy on potential analysis, and 97% for TDDB aging analysis.","","978-1-4503-7519-1","10.1145/3380446.3430620","NSF(grant numbers:CCF-1816361); NSF(grant numbers:CCF-2007135,OISE-1854276); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9394646","Reliability;TDDB;Lifetime;Machine Learning","Training;Electric potential;Neural networks;Layout;Aging;Very large scale integration;Electrostatics","","2","","15","","9 Apr 2021","","","IEEE","IEEE Conferences"
"An Efficient Cancer Classification Model Using Deep Neural Network with Arithmetic Optimization Algorithm-Based Optimal Gene Selection","S. G. B; S. Anu H Nair; K. P. Sanal Kumar; S. Kamalakkannan","Department of Computer Science and Engineering, Annamalai University; Department of CSE, Annamalai University; Department of CS, R V Government Arts College Chengalpattu; Department of Information Technology, School of Computing Sciences VISTAS","2023 7th International Conference on Electronics, Communication and Aerospace Technology (ICECA)","9 Feb 2024","2023","","","946","953","Cancers are the most disastrous and inevitable ailment that occurs in individuals. Due to the hazardous effects of cancer, people get at death in very early age. In today's date, cancer is categorized into many types, which are affected by the external and internal parts of the body. In general, cancers are caused by the growth of abnormal tissues where cancer originates and it is gradually spread to other parts. Therefore, the medical industry struggles to detect the different types of cancer disorders without any loss of people. Hence, the automated detection system is implemented to predict cancer in its early stages to prevent the people gets worsening. Normally, the collection of individual data is another challenging concern. Several methods have been implemented yet they exist with constraints to provide better results. Machine learning models are also used, but it does not tackle the big data collection process and also fail to obtain the relevant features. Henceforth, the deep learning model has emerged for various processes like prediction, classification, and recognition. So, a new and improved classification framework for classifying cancer is executed in this paper. At first, the data is gathered from the benchmark database. From the data, the genes are optimally selected using an Improved Arithmetic Optimization Algorithm (IAOA). Then, the optimally chosen genes are given as input to the “Optimized Deep Neural Network (ODNN)” for classification. The constraints in the DNN framework are optimized by the improved AOA. From the DNN, the classified output is obtained. Various experimentations are carried out by contrasting the developed optimization algorithm enhanced DNN model to verify the efficient working of the suggested cancer classification model. Throughout the result analysis, the accuracy and precision rate of the designed method is 93.42% and 9363% for all datasets.","","979-8-3503-4060-0","10.1109/ICECA58529.2023.10395446","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10395446","Cancer Classification;Raw Data;Optimal Gene Selection;Improved Arithmetic Optimization Algorithm;Optimized Deep Neural Network","Deep learning;Genomics;Artificial neural networks;Predictive models;Classification algorithms;Ensemble learning;Bioinformatics","","","","24","IEEE","9 Feb 2024","","","IEEE","IEEE Conferences"
"Short-term Scheduling Decision Method of Cascade Hydropower Based on Scenarios Reduction-Deep Learning (SR-DL)","B. Changyu; X. Jun; C. Yifan; Z. Xinyi; F. Lina; X. Yuze","College of Energy and Electrical Engineering, Hohai University, Nanjing, China; College of Energy and Electrical Engineering, Hohai University, Nanjing, China; College of Energy and Electrical Engineering, Hohai University, Nanjing, China; College of Energy and Electrical Engineering, Hohai University, Nanjing, China; College of Energy and Electrical Engineering, Hohai University, Nanjing, China; College of Energy and Electrical Engineering, Hohai University, Nanjing, China",2021 IEEE Sustainable Power and Energy Conference (iSPEC),"24 Mar 2022","2021","","","3702","3707","With the rapid development of large-scale cascade hydropower in southwest and northwest China, it is of great theoretical significance and application value to study the short-term scheduling decision-making method of cascade hydropower with high applicability and high efficiency. The traditional mechanism-driven solution focuses on the optimization model and optimization algorithm. Although the conceptual logic is clear, it ignores historical data and historical decision-making schemes, and it is difficult to modify the model algorithm. However, the data-driven solution method does not study the internal mechanism of short-term scheduling, and directly constructs the mapping relationship between input and output through a large number of historical data training, which is efficient and easy to modify. In view of this, this paper proposes a scheduling decision-making method based on scenarios reduction-deep learning (SR-DL), which is applied to the short-term dispatching decision of cascade hydropower. The analysis of an example shows that this method can improve the decision accuracy and efficiency.","","978-1-6654-1439-5","10.1109/iSPEC53008.2021.9736133","National Natural Science Foundation of China; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9736133","data-driven;cascade hydropower;short-term scheduling;scenarios reduction;deep learning","Training;Conferences;Decision making;Hydroelectric power generation;Dispatching;Data models;Optimization","","","","17","IEEE","24 Mar 2022","","","IEEE","IEEE Conferences"
"Exploring the Integration of National Cultural Resources through Content Retrieval and Visual Semantic Segmentation Display","H. Zhang","Chongqing Vocational Institute of Tourism, Chongqing, China","2023 IEEE 3rd International Conference on Information Technology, Big Data and Artificial Intelligence (ICIBA)","6 Jul 2023","2023","3","","1575","1580","In the era of ubiquitous information and abundant data, the ability to extract relevantinformation from scattered, obscure, and heterogeneous data sources is of paramount importance. Despitethe considerable richness of ethnic cultural resources, they are often characterized by significant heterogeneity and fragmentation. Semantic segmentation technology can effectively leverage the power of computers to extract image features and compile feature databases, enabling the fusion of heterogeneous knowledge. To this end, this paper proposes an image classification method that combines object semantics and deep learning algorithms to identify object areas within an image and retrieve matching images from a database based on implicit semantic information. Through the integration of national cultural resources, this approach enables content retrieval and visual semantic segmentation. The use of multi-layer perceptrons for supervised learning facilitates the generation of object semantic templates to address the challenge of object semantic similarity. The resulting templates can then be applied to classify images, leading to a high classification accuracy rate for binary semantic images. Experimental results demonstrate that the proposed method enables automatic feature comparison with target images in the feature library during the retrieval of ethnic cultural resources, allowing for the mining of previously undiscovered and valuable knowledge. Finally, the best matching results and relevant information are output to users, enabling the effective use of these resources","","978-1-6654-9079-5","10.1109/ICIBA56860.2023.10165102","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10165102","content retrieval;National cultural resources;Multilayer perceptron;Feature extraction;Supervised learning","Deep learning;Visualization;Semantic segmentation;Semantics;Image retrieval;Supervised learning;Feature extraction","","","","12","IEEE","6 Jul 2023","","","IEEE","IEEE Conferences"
"Optimizing Predictive Models and Streamlining Feature Selection Process In Oncology","K. Subrmanian; I. Faye; G. Thangarasu; K. N. Kannan","Deptartment of Applied Science, Faculty of Engineering and IT, Saveetha School of Engineering, MAHSA University, Universiti Teknologi PETRONAS, Saveetha Institute of Medical and Technical Sciences, Malaysia, Chennai; Department of Fundamental & Applied Science, Universiti Teknologi PETRONAS, Perak, Malaysia; Centre of Digital Health and Health Informatics, Saveetha School of Engineering Inernational Medical Univeristy, Saveetha Institute of Medical and Technical Sciences, Malaysia, Chennai; Saveetha School of Engineering, Saveetha Institute of Medical and Technical Sciences, Chennai, India",2024 IEEE 14th Symposium on Computer Applications & Industrial Electronics (ISCAIE),"8 Jul 2024","2024","","","233","238","In the ever-evolving landscape of healthcare, the intersection of big data and oncology presents a realm of possibilities for advancements in diagnosis, treatment, and patient care. This abstract explores the application of Deep Bee Swarm Optimization (DBSO) in the realm of big data analytics within oncology, a novel approach poised to revolutionize data-driven decision-making. Deep Bee Swarm Optimization, inspired by the collective intelligence of bee swarms, leverages the principles of deep learning to sift through vast datasets inherent in oncological research. The algorithm's innate ability to navigate complex, high-dimensional spaces makes it particularly well-suited for the intricacies of big data in healthcare. The primary objective of this research is to harness the power of DBSO in optimizing the analysis of diverse oncological datasets, ranging from genomic information to patient records. By employing this hybrid approach, the study aims to enhance the accuracy and efficiency of predictive models, leading to more precise diagnostics and personalized treatment strategies. Furthermore, the integration of DBSO addresses the challenge of feature selection in big data analytics within oncology. The swarm intelligence enables the identification of crucial biomarkers and relevant features, streamlining the data preprocessing phase and contributing to the development of robust predictive models.","2836-4317","979-8-3503-4879-8","10.1109/ISCAIE61308.2024.10576328","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10576328","Deep Bee Swarm Optimization;Big data analytics;Oncology;Predictive modeling;Feature selection","Deep learning;Accuracy;Navigation;Medical services;Big Data;Predictive models;Oncology","","","","12","IEEE","8 Jul 2024","","","IEEE","IEEE Conferences"
"An Optimized Nasnet-Mobile Network Based on the BOA Algorithm for Bearing Health Monitoring","H. Yao; F. He; Y. Yang","School of Economics and Management, Beijing Jiaotong University, Beijing, China; School of Economics and Management, Communication University of China, Beijing, China; School of Artificial Intelligence, Wuchang University of Technology, Wuhan, China",2023 IEEE International Conference on Image Processing and Computer Applications (ICIPCA),"27 Sep 2023","2023","","","365","370","In the situation that the poor adaptive ability of traditional feature extraction methods and the weak generalization ability of a shallow neural network, a Nasnet-Mobile network framework method rely on the butterfly optimization algorithm (BOA) is proposed to optimize the internal parameters. Firstly, to process the bearing data, the bearing data is shifted by two-dimensional time-frequency transformation to obtain some normalized time-frequency spectrum. And the uppermost accuracy of the test set in the neural network is regraded as a fitness function, where BOA is used to search for the best parameter combination of Nasnet-Mobile. Then, the learning rate and the amount of batch learning that play the vital roles in the BOA will be selected appropriately, and at the same time, the Nasnet-Mobile will be given by comparison Finally, combined with the powerful adaptive feature extraction deep learning, the obtained samples were input into Nasnet Mobile to train, and a bearing fault diagnosis model using Nasnet-Mobile is established. After several tests on the test samples, the diagnostic rate of the model can be more than 99%, which is much better than the traditional fault diagnosis methods. Experimental results show that the proposed method can extract effective features better and has higher classification and detection accuracy.","","979-8-3503-1467-0","10.1109/ICIPCA59209.2023.10257902","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10257902","Industrial big data;Nasnet-Mobile network;fault diagnosis;BOA algorithm","Fault diagnosis;Time-frequency analysis;Adaptation models;Search methods;Neural networks;Signal processing algorithms;Signal processing","","1","","11","IEEE","27 Sep 2023","","","IEEE","IEEE Conferences"
"An Improved CNN Employing SSA and Its Application in Bearing Fault Diagnosis","Y. Zhu; X. Cao; Z. Han","School of Computer and Artificial Intelligence, Wuhan University of Technology, Wuhan, China; School of Mechanical Engineering and Automation, Dalian Polytechnic University, Dalian, China; School of Economics and Management, Chinese University of Hong Kong, Shenzhen, China","2022 IEEE 5th International Conference on Automation, Electronics and Electrical Engineering (AUTEEE)","2 Jan 2023","2022","","","714","718","Aspiring to the problems of inadequate self-adaptive ability in classical feature extraction methods and weak generalization ability in single classifier under big data, an internal improved Convolutional neural network (CNN) method founded on Sparrow Search Algorithm (SSA) is proposed. First, to process bearing data, two-dimensional wavelet time-spectral transform is performed with bearing data, and some normalized time-frequency diagrams are obtained. The highest correct rate of the test set in the training network is used as the fitness function, in which SSA is used to hunt for the optimum parameter combination of CNN. Then correctly select the learning rate and batch learning times of SSA in the SSA that have a large impact on the training error. Simultaneously, the ideal structure distribution of CNN is given through comparison. Finally, combined with deep learning with powerful adaptive feature extraction and nonlinear mapping capabilities, the obtained samples are fed into CNN for training, and a load-bearing fault diagnosis model based on CNN is established. By testing the remaining samples multiple times, the diagnostic rate of the model can reach more than 99.5%, which is far superior to the traditional fault diagnosis method based upon pattern recognition and feature extraction. Experimental results show that the proposed method can effectively enhance the adaptive feature extraction ability and the accuracy of fault diagnosis of the model, so as to have better generalization performance.","2831-4549","978-1-6654-7197-8","10.1109/AUTEEE56487.2022.9994390","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9994390","Convolutional neural network;Sparrow Search Algorithm;deep learning;Bearing Fault Diagnosis","Fault diagnosis;Training;Wavelet transforms;Adaptation models;Time-frequency analysis;Signal processing algorithms;Feature extraction","","1","","5","IEEE","2 Jan 2023","","","IEEE","IEEE Conferences"
"A Convolutional Autoencoder Method for Simultaneous Seismic Data Reconstruction and Denoising","J. Jiang; H. Ren; M. Zhang","Key Laboratory of Geoscience Big Data and Deep Resource of Zhejiang Province, School of Earth Sciences, Zhejiang University, Hangzhou, China; Key Laboratory of Geoscience Big Data and Deep Resource of Zhejiang Province, School of Earth Sciences, Zhejiang University, Hangzhou, China; Shengli Oilfield Geophysical Research Institute of SINOPEC, Dongying, China",IEEE Geoscience and Remote Sensing Letters,"30 Dec 2021","2022","19","","1","5","Petroleum geophysical exploration is based on seismic data and has been widely affected by deep learning technology in recent years. As a consequence of the high efficiency and nonlinear fitting ability of deep learning models, we propose an improved convolutional autoencoder (CAE) method to achieve simultaneous reconstruction and denoising of seismic data. The architecture of the improved CAE is based on group convolution and inception structures, which have powerful feature extraction capabilities for seismic data. The CAE method regards the reconstruction and denoising of seismic data as a feature extraction process of the target seismic signals; this enables the method to simultaneously reconstruct the seismic signal accurately and suppress the random noise mixed in the seismic data. During the training of the CAE, the mean absolute error (MAE) loss function and Adam optimization algorithm were used. Because this is a data-driven method and does not require the threshold to be input manually, it can process a large amount of seismic data quickly and intelligently. Synthetic and field data examples demonstrate the effectiveness of the CAE method.","1558-0571","","10.1109/LGRS.2021.3073560","Natural Science Foundation of China(grant numbers:42074135,41674123); Zhejiang Province Basic Public Welfare Research Program(grant numbers:LY19D040002); Shengli Oilfield Geophysical Research Institute of SINOPEC; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9416991","Convolutional autoencoder (CAE);deep learning;denoising;seismic data reconstruction","Convolution;Noise reduction;Interpolation;Image reconstruction;Deep learning;Signal to noise ratio;Feature extraction","","30","","27","IEEE","27 Apr 2021","","","IEEE","IEEE Journals"
