Name,Author,Year,Publication Name,DOI,Publication Year,Publication Type,Database,Marcellin,Pouya,Brian,Arnaud,Stones
An Adaptive Gradient Method with Differentiation Element in Deep Neural Networks,R. Wang; W. Wang; T. Ma; B. Zhang,2020,2020 15th IEEE Conference on Industrial Electronics and Applications (ICIEA),10.1109/ICIEA48937.2020.9248376,2020,,IEEE Conferences,No,No,Yes,No,No
Elimination of Data Modification in Sensor Nodes of WSN Using Deep Learning Model,J. Surendiran; B. M. Nathisiya; A. RadhaKrishnan; J. M. Stella; M. Marimuthu; N. Balaji,2022,"2022 International Conference on Computer, Power and Communications (ICCPC)",10.1109/ICCPC55978.2022.10072261,2022,,IEEE Conferences,No,No,No,No,No
A Novel Deep Learning Character-Level Solution to Detect Language and Printing Style from a Bilingual Scanned Document,A. K. M. Shahariar Azad Rabby; M. M. Islam; N. Hasan; J. Nahar; F. Rahman,2020,2020 IEEE International Conference on Big Data (Big Data),10.1109/BigData50022.2020.9378262,2020,,IEEE Conferences,No,No,No,No,No
A deep learning approach for optimizing content delivering in cache-enabled HetNet,L. Lei; L. You; G. Dai; T. X. Vu; D. Yuan; S. Chatzinotas,2017,2017 International Symposium on Wireless Communication Systems (ISWCS),10.1109/ISWCS.2017.8108157,2017,,IEEE Conferences,Yes,Yes,Yes,Yes,Yes
Enhanced UNet Approach for Detecting Stroke Lesions in Computed Tomography Brain Scans,A. Tursynova; N. Ualiyev; A. Sakhipov; I. Omirzak; Y. Tulebayev; A. Seitenov,2024,2024 IEEE 4th International Conference on Smart Information Systems and Technologies (SIST),10.1109/SIST61555.2024.10629549,2024,,IEEE Conferences,No,No,No,Yes,No
Vehicle Type Classification System for Expressway Based on Improved Convolutional Neural Network,Z. Yibo; L. Qi; H. Peifeng,2020,2020 3rd International Conference on Artificial Intelligence and Big Data (ICAIBD),10.1109/ICAIBD49809.2020.9137449,2020,,IEEE Conferences,No,No,No,Yes,No
Research on Fault Prediction Technology Based on Improved LSTM Neural Network,H. Qin; X. Jiang; J. Song; Z. Wang; K. Ding; H. Gong,2023,"2023 5th International Conference on Machine Learning, Big Data and Business Intelligence (MLBDBI)",10.1109/MLBDBI60823.2023.10482240,2023,,IEEE Conferences,No,Yes,Yes,Yes,No
New Insights Into Drug Repurposing for COVID-19 Using Deep Learning,C. Y. Lee; Y. -P. P. Chen,2021,IEEE Transactions on Neural Networks and Learning Systems,10.1109/TNNLS.2021.3111745,2021,,IEEE Journals,No,Yes,Yes,Yes,No
Deep Reinforcement Learning Task Assignment Based on Domain Knowledge,J. Liu; G. Wang; X. Guo; S. Wang; Q. Fu,2022,IEEE Access,10.1109/ACCESS.2022.3217654,2022,,IEEE Journals,Yes,Yes,Yes,Yes,Yes
Delivery Route Optimization Based on Deep Reinforcement Learning,E. Xing; B. Cai,2020,"2020 2nd International Conference on Machine Learning, Big Data and Business Intelligence (MLBDBI)",10.1109/MLBDBI51377.2020.00071,2020,,IEEE Conferences,Yes,Yes,Yes,Yes,Yes
Graph Neural Networks for Scalable Radio Resource Management: Architecture Design and Theoretical Analysis,Y. Shen; Y. Shi; J. Zhang; K. B. Letaief,2021,IEEE Journal on Selected Areas in Communications,10.1109/JSAC.2020.3036965,2021,,IEEE Journals,Yes,Yes,Yes,Yes,Yes
A Neural Network Anomaly Detection Model Based on Archimedes Optimization Algorithm for Intelligent Operation and Maintenance,Y. Wei; Z. Li; J. Pan; Z. Yang; Y. Nong; S. Zhou; Z. Zheng; N. Chen,2023,2023 6th International Conference on Artificial Intelligence and Big Data (ICAIBD),10.1109/ICAIBD57115.2023.10206253,2023,,IEEE Conferences,Yes,Yes,Yes,Yes,Yes
Versatile Communication Optimization for Deep Learning by Modularized Parameter Server,P. -Y. Wu; P. Liu; J. -J. Wu,2018,2018 IEEE International Conference on Big Data (Big Data),10.1109/BigData.2018.8622358,2018,,IEEE Conferences,Yes,Yes,No,Yes,Yes
Image classification optimization and results analysis based on VGG network,J. Shi; Y. Zhao,2020,"2020 IEEE International Conference on Information Technology,Big Data and Artificial Intelligence (ICIBA)",10.1109/ICIBA50161.2020.9277329,2020,,IEEE Conferences,No,No,No,No,No
A Hybrid Anomaly Detection Model Based on GANomaly in Cloud Environment,W. Yang; C. Zeng,2022,2022 IEEE 5th International Conference on Big Data and Artificial Intelligence (BDAI),10.1109/BDAI56143.2022.9862656,2022,,IEEE Conferences,Yes,Yes,Yes,Yes,Yes
Intracranial Hemorrhage Detection using Deep Learning and Optimization Techniques,M. Balipa; P. P Kundapur; Adithya,2023,2023 Third International Conference on Ubiquitous Computing and Intelligent Information Systems (ICUIS),10.1109/ICUIS60567.2023.00086,2023,,IEEE Conferences,No,No,No,Yes,No
Study on Deep Unsupervised Learning Optimization Algorithm Based on Cloud Computing,H. Yan; P. Yu; D. Long,2019,"2019 International Conference on Intelligent Transportation, Big Data & Smart City (ICITBS)",10.1109/ICITBS.2019.00168,2019,,IEEE Conferences,Yes,Yes,Yes,Yes,Yes
Computational Mathematics with SageMath,"Zimmermann P,Casamayou A,Cohen N,Connan G,Dumont T,Fousse L,Maltey F,Meulien M,Mezzarobba M,Pernet C,Thiry NM,Bray E,Cremona J,Forets M,Ghitza A,Thomas H",2018,SIAM-Society for Industrial and Applied Mathematics,,2018,Book,ACM,No,No,No,No,No
Applied Computational Mathematics in Social Sciences,Damaceanu RC,2018,Bentham Science Publishers,,2018,Book,ACM,No,No,No,No,No
Encyclopedia of Applied and Computational Mathematics,Engquist B,2016,"Springer Publishing Company, Incorporated",,2016,Book,ACM,No,No,No,No,No
Deep Generative Design Models for Improved Door Frame Performance,Puthuvayil N.; Zaman T.; Arunkumar K.; Sivasankari S.; Cheyadri R.,2021,SAE Technical Papers,10.4271/2021-01-0243,2021,,Scopus,Yes,No,Yes,Yes,Yes
"2023 International Conference on Evolutionary Algorithms and Soft Computing Techniques, EASCT 2023",,2023,"2023 International Conference on Evolutionary Algorithms and Soft Computing Techniques, EASCT 2023",,2023,,Scopus,No,No,No,No,No
"1st World Conference on Intelligent and 3-D Technologies, WCI3DT 2022",,2023,"Smart Innovation, Systems and Technologies",,2023,,Scopus,No,No,No,No,No
"Proceedings - 2023 International Conference on Electronics and Devices, Computational Science, ICEDCS 2023",,2023,"Proceedings - 2023 International Conference on Electronics and Devices, Computational Science, ICEDCS 2023",,2023,,Scopus,No,No,No,No,No
"7th Euro-China Conference on Intelligent Data Analysis and Applications, ECC 2021",,2022,"Smart Innovation, Systems and Technologies",,2022,,Scopus,No,No,No,No,No
"4th International Conference on Trends in Cognitive Computation Engineering, TCCE 2022",,2023,Lecture Notes in Networks and Systems,,2023,,Scopus,No,No,No,No,No
"Proceedings - 2023 2nd International Conference on Big Data, Information and Computer Network, BDICN 2023",,2023,"Proceedings - 2023 2nd International Conference on Big Data, Information and Computer Network, BDICN 2023",,2023,,Scopus,No,No,No,No,No
An Innovative Evolutionary Computation Strategy for Optimizing Deep Learning Network,Ali S.S.; Helmy Y.M.; Moawad I.F.,2023,Springer Proceedings in Earth and Environmental Sciences,10.1007/978-3-031-40447-4_27,2023,,Scopus,Yes,Yes,Yes,Yes,Yes
"3rd International Workshop on New Approaches for Multidimensional Signal Processing, NAMSP 2022",,2023,"Smart Innovation, Systems and Technologies",,2023,,Scopus,No,No,No,No,No
Prediction Bitcoin Price based on Long Short Term Memory (LSTM) Optimized by Gradient Descent,Saidah C.A.R.; Farikhin; Herdiana R.; Sam’an M.,2023,AIP Conference Proceedings,10.1063/5.0187153,2023,,Scopus,Yes,No,No,Yes,Yes
A novel sigmoid butterfly optimization deep learning model for big data classification,Umanesan R.; Kanchana R.; Rathi R.; Visvanathan P.,2023,"Building Intelligent Systems Using Machine Learning and Deep Learning: Security, Applications and Its Challenges",,2023,,Scopus,Yes,Yes,No,Yes,Yes
"ICET 2021 - 16th International Conference on Emerging Technologies 2021, Proceedings",,2021,"ICET 2021 - 16th International Conference on Emerging Technologies 2021, Proceedings",,2021,,Scopus,No,No,No,No,No
"11th and 12th EAI International Conference on Big Data Technologies and Applications, BDTA 2021 and BDTA 2022",,2023,"Lecture Notes of the Institute for Computer Sciences, Social-Informatics and Telecommunications Engineering, LNICST",,2023,,Scopus,No,No,No,No,No
"International Conference on Emerging Technologies and Intelligent Systems, ICETIS 2021",,2022,Lecture Notes in Networks and Systems,,2022,,Scopus,No,No,No,No,No
A hybrid deep learning-based unsupervised anomaly detection in high dimensional data,Muneer A.; Taib S.M.; Fati S.M.; Balogun A.O.; Aziz I.A.,2022,"Computers, Materials and Continua",10.32604/cmc.2022.020732,2022,,Scopus,Yes,Yes,Yes,Yes,Yes
An innovative decision making method for air quality monitoring based on big data-assisted artificial intelligence technique,Fu L.; Li J.; Chen Y.,2023,Journal of Innovation and Knowledge,10.1016/j.jik.2022.100294,2023,,Scopus,Yes,Yes,Yes,Yes,Yes
Quantum Machine Intelligence for 6G URLLC,Zaman F.; Farooq A.; Ullah M.A.; Jung H.; Shin H.; Win M.Z.,2023,IEEE Wireless Communications,10.1109/MWC.003.2200382,2023,,Scopus,Yes,No,Yes,Yes,No
"4th International Conference on Pattern Analysis and Intelligent Systems, PAIS 2022 - Proceedings",,2022,"4th International Conference on Pattern Analysis and Intelligent Systems, PAIS 2022 - Proceedings",,2022,,Scopus,No,No,No,No,No
"Proceedings - 2023 15th IEEE International Conference on Computational Intelligence and Communication Networks, CICN 2023",,2023,"Proceedings - 2023 15th IEEE International Conference on Computational Intelligence and Communication Networks, CICN 2023",,2023,,Scopus,No,No,No,No,No
Classification of DNA Microarray Gene Expression Leukaemia Data through ABC and CNN Method,Wahid A.; Banday M.T.,2023,International Journal of Intelligent Systems and Applications in Engineering,,2023,,Scopus,Yes,No,Yes,Yes,No
Big data classification using deep learning and apache spark architecture,Brahmane A.V.; Krishna B.C.,2021,Neural Computing and Applications,10.1007/s00521-021-06145-w,2021,,Scopus,Yes,Yes,No,Yes,Yes
"4th International Conference on Pattern Analysis and Intelligent Systems, PAIS 2022 - Proceedings",,2022,"4th International Conference on Pattern Analysis and Intelligent Systems, PAIS 2022 - Proceedings",,2022,,Scopus,No,No,No,No,No
"Application of machine learning, deep learning and optimization algorithms in geoengineering and geoscience: Comprehensive review and future challenge",Zhang W.; Gu X.; Tang L.; Yin Y.; Liu D.; Zhang Y.,2022,Gondwana Research,10.1016/j.gr.2022.03.015,2022,,Scopus,Yes,No,Yes,Yes,Yes
Multi-stage optimization of a deep model: A case study on ground motion modeling,Tahmassebi A.; Gandomi A.H.; Fong S.; Meyer-Baese A.; Foo S.Y.,2018,PLoS ONE,10.1371/journal.pone.0203829,2018,,Scopus,Yes,Yes,Yes,Yes,Yes
Neural Network Topology Construction and Classroom Interaction Benchmark Graph Based on Big Data Analysis,Luan C.; Shang P.,2021,Wireless Communications and Mobile Computing,10.1155/2021/2334443,2021,,Scopus,Yes,Yes,Yes,Yes,Yes
"1st International Conference on Artificial Intelligence and Computer Visions, AICV 2020",,2020,Advances in Intelligent Systems and Computing,,2020,,Scopus,No,No,No,No,No
Water Pollution Prediction Based on Deep Belief Network in Big Data of Water Environment Monitoring,Liang L.,2021,Scientific Programming,10.1155/2021/8271950,2021,,Scopus,Yes,Yes,No,Yes,Yes
"4th International Conference on Harmony Search, Soft Computing and Applications, ICHSA 2018",,2019,Advances in Intelligent Systems and Computing,,2019,,Scopus,Yes,No,No,No,No
Rider-Deep Belief Network-Based MapReduce Framework for Big Data Classification,Gujjeti S.; Pabboju S.,2021,"Smart Innovation, Systems and Technologies",10.1007/978-981-16-0878-0_24,2021,,Scopus,No,Yes,Yes,Yes,Yes
Big data in omics and imaging: Association analysis,Xiong M.,2017,Big Data in Omics and Imaging: Association Analysis,10.1201/9781315370507,2017,,Scopus,No,Yes,No,Yes,No
Optimized deep CNN based prediction model for injury severity risk factor in automobile crashes,Mathew J.; Emmanuel M.,2020,International Journal of Advanced Science and Technology,,2020,,Scopus,Yes,Yes,Yes,Yes,Yes
A deep LSTM network for the Spanish electricity consumption forecasting,"Torres, JF; Martínez-Alvarez, F; Troncoso, A",2022,NEURAL COMPUTING & APPLICATIONS,10.1007/s00521-021-06773-2,2022,,WoS,Yes,No,Yes,Yes,Yes
Research on Automatic Essay Scoring of Composition Based on CNN and OR,Z. Chen; Y. Zhou,2019,2019 2nd International Conference on Artificial Intelligence and Big Data (ICAIBD),10.1109/ICAIBD.2019.8837007,2019,,IEEE Conferences,Yes,No,Yes,Yes,No
