Name,Author,Year,Publication Name,DOI,Publication Year,Publication Type,Database
Communication Optimization Algorithms for Distributed Deep Learning Systems: A Survey,E. Yu; D. Dong; X. Liao,2023,IEEE Transactions on Parallel and Distributed Systems,10.1109/TPDS.2023.3323282,2023,,IEEE Journals
Parallel Optimization of Depth Learning Algorithm Based on Behavior Recognition,Y. Shi; B. Zhou; C. Li,2019,"2019 International Conference on Intelligent Transportation, Big Data & Smart City (ICITBS)",10.1109/ICITBS.2019.00164,2019,,IEEE Conferences
A Parameter-Optimized CNN Using WOA and Its Application in Fault Diagnosis of Bearing,Y. Cui; S. Zhang; Z. Zhang,2023,"2023 IEEE 2nd International Conference on Electrical Engineering, Big Data and Algorithms (EEBDA)",10.1109/EEBDA56825.2023.10090663,2023,,IEEE Conferences
Optimization Strategy of Classification Model Based on Weighted Implicit Optimal Extreme Learning Machine,N. Zhang; X. Wang,2024,IEEE Access,10.1109/ACCESS.2024.3404606,2024,,IEEE Journals
Toward Optimally Efficient Search With Deep Learning for Large-Scale MIMO Systems,L. He; K. He; L. Fan; X. Lei; A. Nallanathan; G. K. Karagiannidis,2022,IEEE Transactions on Communications,10.1109/TCOMM.2022.3158367,2022,,IEEE Journals
A Patch Based 3D CNN Approach for Diagnosing Early Stages of Alzheimer’s Disease by Applying OBL-WOA Algorithm,R. Kumari; S. Goel; S. Das,2023,2023 8th International Conference on Cloud Computing and Big Data Analytics (ICCCBDA),10.1109/ICCCBDA56900.2023.10154706,2023,,IEEE Conferences
Efficiency Study of SSAG on RNN Framework,X. Xie; A. Chen,2022,"2022 IEEE 6th Advanced Information Technology, Electronic and Automation Control Conference (IAEAC )",10.1109/IAEAC54830.2022.9929855,2022,,IEEE Conferences
Deep Convolutional Network for Citrus Leaf Diseases Recognition,Q. Chen; X. Liu; C. Dong; T. Tong; C. Yang; R. Chen; T. Zou; X. Yang,2019,"2019 IEEE Intl Conf on Parallel & Distributed Processing with Applications, Big Data & Cloud Computing, Sustainable Computing & Communications, Social Computing & Networking (ISPA/BDCloud/SocialCom/SustainCom)",10.1109/ISPA-BDCloud-SustainCom-SocialCom48970.2019.00215,2019,,IEEE Conferences
Deep Neural Networks for traffic flow prediction,Hongsuk Yi; HeeJin Jung; Sanghoon Bae,2017,2017 IEEE International Conference on Big Data and Smart Computing (BigComp),10.1109/BIGCOMP.2017.7881687,2017,,IEEE Conferences
T-Distributed Stochastic Neighbor Embedding with Gauss Initialization of Quantum Whale Optimization Algorithm,Z. Yang; Y. Sun; D. Li; Z. Zhang; Y. Xie,2020,2020 39th Chinese Control Conference (CCC),10.23919/CCC50068.2020.9189639,2020,,IEEE Conferences
Machine Learning for Large-Scale Optimization in 6G Wireless Networks,Y. Shi; L. Lian; Y. Shi; Z. Wang; Y. Zhou; L. Fu; L. Bai; J. Zhang; W. Zhang,2023,IEEE Communications Surveys & Tutorials,10.1109/COMST.2023.3300664,2023,,IEEE Journals
Research on Cross-media Semantic Retrieval Methods of Information Resources Based on Deep Learning,Y. Zhu,2019,2019 14th International Conference on Computer Science & Education (ICCSE),10.1109/ICCSE.2019.8845474,2019,,IEEE Conferences
Early Screening Prediction System of Breast Cancer MRI Images Based on Deep Learning,L. Xu; L. Liu,2024,"2024 IEEE 3rd International Conference on Electrical Engineering, Big Data and Algorithms (EEBDA)",10.1109/EEBDA60612.2024.10485978,2024,,IEEE Conferences
Online Aid For Detecting Brain Tumor And Tuberculosis Using Deep Learning,V. Mercy Rajaselvi Beaulah; U. Brinda; R. Adithya; S. Akshey,2021,"2021 International Conference on Forensics, Analytics, Big Data, Security (FABS)",10.1109/FABS52071.2021.9702602,2021,,IEEE Conferences
splitDyn: Federated Split Neural Network for Distributed Edge AI Applications,T. A. Khoa; D. -V. Nguyen; M. -S. Dao; K. Zettsu,2022,2022 IEEE International Conference on Big Data (Big Data),10.1109/BigData55660.2022.10020803,2022,,IEEE Conferences
Deep Reinforcement Learning for Energy Efficiency Optimization in Wireless Networks,H. Fan; L. Zhu; C. Yao; J. Guo; X. Lu,2019,2019 IEEE 4th International Conference on Cloud Computing and Big Data Analysis (ICCCBDA),10.1109/ICCCBDA.2019.8725683,2019,,IEEE Conferences
A Fault Diagnosis Model Based on Kernel Auto-encoder and Improved Chaos Firefly Optimization Algorithm,W. Fengtao; L. Xiaofei; M. Linjie; D. Gang; H. Qingkai; L. Hongkun,2019,2019 IEEE International Instrumentation and Measurement Technology Conference (I2MTC),10.1109/I2MTC.2019.8827055,2019,,IEEE Conferences
Convolutional Neural Network Compression Based on Improved Fractal Decomposition Algorithm for Large Scale Optimization,A. Llanza; F. E. Keddous; N. Shvai; A. Nakib,2023,"2023 IEEE International Conference on Systems, Man, and Cybernetics (SMC)",10.1109/SMC53992.2023.10394477,2023,,IEEE Conferences
FOA Application in the GRNN Optimization for CBM Productivity Prediction,L. Yin; W. Yang; G. Yongwei; Z. Shu,2023,2023 6th International Conference on Artificial Intelligence and Big Data (ICAIBD),10.1109/ICAIBD57115.2023.10206369,2023,,IEEE Conferences
Emergency Drug Procurement Planning Based on Big-Data Driven Morbidity Prediction,Q. Song; Y. -J. Zheng; Y. -J. Huang; Z. -G. Xu; W. -G. Sheng; J. Yang,2019,IEEE Transactions on Industrial Informatics,10.1109/TII.2018.2870879,2019,,IEEE Journals
Sentiment Analysis of YouTube Video Comments with the Topic of Starlink Mission Using Long Short Term Memory,A. M. Putri; D. Ananda Putra Basya; M. T. Ardiyanto; I. Sarathan,2021,2021 International Conference on Artificial Intelligence and Big Data Analytics,10.1109/ICAIBDA53487.2021.9689718,2021,,IEEE Conferences
An Intrusion Detection System Empowered by Deep Learning Algorithms,W. Tang; D. Li; W. Fan; T. Liu; M. Chen; O. Dib,2023,"2023 IEEE Intl Conf on Dependable, Autonomic and Secure Computing, Intl Conf on Pervasive Intelligence and Computing, Intl Conf on Cloud and Big Data Computing, Intl Conf on Cyber Science and Technology Congress (DASC/PiCom/CBDCom/CyberSciTech)",10.1109/DASC/PiCom/CBDCom/Cy59711.2023.10361315,2023,,IEEE Conferences
Research on Image Recognition and Classification Algorithms Based on Artificial Intelligence,C. Zhang; R. Chang,2024,"2024 IEEE 2nd International Conference on Control, Electronics and Computer Technology (ICCECT)",10.1109/ICCECT60629.2024.10546014,2024,,IEEE Conferences
Convergence of Photovoltaic Power Forecasting and Deep Learning: State-of-Art Review,M. Massaoudi; I. Chihi; H. Abu-Rub; S. S. Refaat; F. S. Oueslati,2021,IEEE Access,10.1109/ACCESS.2021.3117004,2021,,IEEE Journals
Research on 5G Network Slicing Type Prediction Based on Random Forest and Deep Neural Network,X. Zhu; J. Wang; Q. Lai; X. Luo; R. Ren; H. Lu,2023,2023 IEEE 8th International Conference on Big Data Analytics (ICBDA),10.1109/ICBDA57405.2023.10104899,2023,,IEEE Conferences
Improved Deep Neural Network for OFDM Signal Recognition Using Hybrid Grey Wolf Optimization,Y. Zhang; D. Liu; J. Liu; Y. Xian; X. Wang,2020,IEEE Access,10.1109/ACCESS.2020.3010589,2020,,IEEE Journals
An Intelligent Big Data Security Framework Based on AEFS-KENN Algorithms for the Detection of Cyber-Attacks from Smart Grid Systems,S. Muthubalaji; N. K. Muniyaraj; S. P. V. S. Rao; K. Thandapani; P. R. Mohan; T. Somasundaram; Y. Farhaoui,2024,Big Data Mining and Analytics,10.26599/BDMA.2023.9020022,2024,,TUP Journals
Hybrid Nature-Inspired Based Oversampling and Feature Selection Approach for Imbalance Data Streams Classification,M. Arya; B. K. Dewangan; M. Verma; M. Rohini; A. Motwani; S. K. Sar,2023,2022 OPJU International Technology Conference on Emerging Technologies for Sustainable Development (OTCON),10.1109/OTCON56053.2023.10113972,2023,,IEEE Conferences
Truck Traffic Speed Prediction Under Non-Recurrent Congestion: Based on Optimized Deep Learning Algorithms and GPS Data,J. Zhao; Y. Gao; Z. Yang; J. Li; Y. Feng; Z. Qin; Z. Bai,2019,IEEE Access,10.1109/ACCESS.2018.2890414,2019,,IEEE Journals
Sorting the Digital Stream: Big Data-driven Insights into Email Classification for Spam and Ham Detection,S. A. Shah; E. A. Arputham; A. Ahmed; M. B. Farah; A. Shah; A. Aziz,2023,2023 IEEE International Conference on Big Data (BigData),10.1109/BigData59044.2023.10386224,2023,,IEEE Conferences
Deep Learning-Based Resource Allocation in UAV-RIS-Aided Cell-Free Hybrid NOMA/OMA Networks,C. Huang; G. Chen; Y. Wen; Z. Lin; Y. Xiao; P. Xiao,2023,GLOBECOM 2023 - 2023 IEEE Global Communications Conference,10.1109/GLOBECOM54140.2023.10437110,2023,,IEEE Conferences
Individual Recognition of Big Data Radar Digital Waveform Based on Long Short-Term Memory Network,Y. Jiang; W. Sheng; D. Cheng; L. Xiang; R. Song; W. Jiang,2023,"2023 IEEE 3rd International Conference on Information Technology, Big Data and Artificial Intelligence (ICIBA)",10.1109/ICIBA56860.2023.10165161,2023,,IEEE Conferences
Deep Signal Recovery with One-bit Quantization,S. Khobahi; N. Naimipour; M. Soltanalian; Y. C. Eldar,2019,"ICASSP 2019 - 2019 IEEE International Conference on Acoustics, Speech and Signal Processing (ICASSP)",10.1109/ICASSP.2019.8683876,2019,,IEEE Conferences
Face Recognition System Based on CNN,D. Wang; H. Yu; D. Wang; G. Li,2020,2020 International Conference on Computer Information and Big Data Applications (CIBDA),10.1109/CIBDA50819.2020.00111,2020,,IEEE Conferences
Data-Driven Fast Electrostatics and TDDB Aging Analysis,S. Peng; W. Jin; L. Chen; S. X. . -D. Tan,2020,2020 ACM/IEEE 2nd Workshop on Machine Learning for CAD (MLCAD),10.1145/3380446.3430623,2020,,IEEE Conferences
Data-Driven Fast Electrostatics and TDDB Aging Analysis,S. Peng; W. Jin; L. Chen; S. X. . -D. Tan,2020,2020 ACM/IEEE 2nd Workshop on Machine Learning for CAD (MLCAD),10.1145/3380446.3430620,2020,,IEEE Conferences
An Efficient Cancer Classification Model Using Deep Neural Network with Arithmetic Optimization Algorithm-Based Optimal Gene Selection,S. G. B; S. Anu H Nair; K. P. Sanal Kumar; S. Kamalakkannan,2023,"2023 7th International Conference on Electronics, Communication and Aerospace Technology (ICECA)",10.1109/ICECA58529.2023.10395446,2023,,IEEE Conferences
Short-term Scheduling Decision Method of Cascade Hydropower Based on Scenarios Reduction-Deep Learning (SR-DL),B. Changyu; X. Jun; C. Yifan; Z. Xinyi; F. Lina; X. Yuze,2021,2021 IEEE Sustainable Power and Energy Conference (iSPEC),10.1109/iSPEC53008.2021.9736133,2021,,IEEE Conferences
Exploring the Integration of National Cultural Resources through Content Retrieval and Visual Semantic Segmentation Display,H. Zhang,2023,"2023 IEEE 3rd International Conference on Information Technology, Big Data and Artificial Intelligence (ICIBA)",10.1109/ICIBA56860.2023.10165102,2023,,IEEE Conferences
Optimizing Predictive Models and Streamlining Feature Selection Process In Oncology,K. Subrmanian; I. Faye; G. Thangarasu; K. N. Kannan,2024,2024 IEEE 14th Symposium on Computer Applications & Industrial Electronics (ISCAIE),10.1109/ISCAIE61308.2024.10576328,2024,,IEEE Conferences
An Optimized Nasnet-Mobile Network Based on the BOA Algorithm for Bearing Health Monitoring,H. Yao; F. He; Y. Yang,2023,2023 IEEE International Conference on Image Processing and Computer Applications (ICIPCA),10.1109/ICIPCA59209.2023.10257902,2023,,IEEE Conferences
An Improved CNN Employing SSA and Its Application in Bearing Fault Diagnosis,Y. Zhu; X. Cao; Z. Han,2022,"2022 IEEE 5th International Conference on Automation, Electronics and Electrical Engineering (AUTEEE)",10.1109/AUTEEE56487.2022.9994390,2022,,IEEE Conferences
A Convolutional Autoencoder Method for Simultaneous Seismic Data Reconstruction and Denoising,J. Jiang; H. Ren; M. Zhang,2022,IEEE Geoscience and Remote Sensing Letters,10.1109/LGRS.2021.3073560,2022,,IEEE Journals
PANDA: Population Automatic Neural Distributed Algorithm for Deep Leaning,J. Wei; X. Zhang; Z. Ji; J. Li; Z. Wei,2021,"2021 IEEE Intl Conf on Parallel & Distributed Processing with Applications, Big Data & Cloud Computing, Sustainable Computing & Communications, Social Computing & Networking (ISPA/BDCloud/SocialCom/SustainCom)",10.1109/ISPA-BDCloud-SocialCom-SustainCom52081.2021.00187,2021,,IEEE Conferences
IoT Intrusion Detection System Using Deep Learning and Enhanced Transient Search Optimization,A. Fatani; M. Abd Elaziz; A. Dahou; M. A. A. Al-Qaness; S. Lu,2021,IEEE Access,10.1109/ACCESS.2021.3109081,2021,,IEEE Journals
Hard Example Mining based Adversarial Autoencoder Recommendation Algorithm,J. Sun; D. Wei; M. M. B. Shagor,2020,2020 Eighth International Conference on Advanced Cloud and Big Data (CBD),10.1109/CBD51900.2020.00027,2020,,IEEE Conferences
EMGraph: Fast Learning-Based Electromigration Analysis for Multi-Segment Interconnect Using Graph Convolution Networks,W. Jin; L. Chen; S. Sadiqbatcha; S. Peng; S. X. . -D. Tan,2021,2021 58th ACM/IEEE Design Automation Conference (DAC),10.1109/DAC18074.2021.9586239,2021,,IEEE Conferences
PVHArray: An Energy-Efficient Reconfigurable Cryptographic Logic Array With Intelligent Mapping,Y. Du; W. Li; Z. Dai; L. Nan,2020,IEEE Transactions on Very Large Scale Integration (VLSI) Systems,10.1109/TVLSI.2020.2972392,2020,,IEEE Journals
An Adaptive Gradient Method with Differentiation Element in Deep Neural Networks,R. Wang; W. Wang; T. Ma; B. Zhang,2020,2020 15th IEEE Conference on Industrial Electronics and Applications (ICIEA),10.1109/ICIEA48937.2020.9248376,2020,,IEEE Conferences
Elimination of Data Modification in Sensor Nodes of WSN Using Deep Learning Model,J. Surendiran; B. M. Nathisiya; A. RadhaKrishnan; J. M. Stella; M. Marimuthu; N. Balaji,2022,"2022 International Conference on Computer, Power and Communications (ICCPC)",10.1109/ICCPC55978.2022.10072261,2022,,IEEE Conferences
A Novel Deep Learning Character-Level Solution to Detect Language and Printing Style from a Bilingual Scanned Document,A. K. M. Shahariar Azad Rabby; M. M. Islam; N. Hasan; J. Nahar; F. Rahman,2020,2020 IEEE International Conference on Big Data (Big Data),10.1109/BigData50022.2020.9378262,2020,,IEEE Conferences
Research on industrial Internet Platform Technology based on machine learning algorithm,Z. Wang,2022,"2022 4th International Conference on Communications, Information System and Computer Engineering (CISCE)",10.1109/CISCE55963.2022.9851027,2022,,IEEE Conferences
A Method of Detecting and Modeling Mining-Induced Deformation Areas in Interferograms,X. Tian; X. Wu; M. Jiang,2024,IGARSS 2024 - 2024 IEEE International Geoscience and Remote Sensing Symposium,10.1109/IGARSS53475.2024.10642640,2024,,IEEE Conferences
A Metaheuristics-Based Hyperparameter Optimization Approach to Beamforming Design,K. -X. Thuc; H. M. Kha; N. Van Cuong; T. Van Luyen,2023,IEEE Access,10.1109/ACCESS.2023.3277625,2023,,IEEE Journals
A deep learning approach for optimizing content delivering in cache-enabled HetNet,L. Lei; L. You; G. Dai; T. X. Vu; D. Yuan; S. Chatzinotas,2017,2017 International Symposium on Wireless Communication Systems (ISWCS),10.1109/ISWCS.2017.8108157,2017,,IEEE Conferences
Effects of image quality and quantity on building a competitive COVID-19 diagnosis model,P. S. Orfanoudakis; P. Tzouveli; S. Kollias,2021,2021 IEEE International Conference on Big Data (Big Data),10.1109/BigData52589.2021.9671791,2021,,IEEE Conferences
Enhanced UNet Approach for Detecting Stroke Lesions in Computed Tomography Brain Scans,A. Tursynova; N. Ualiyev; A. Sakhipov; I. Omirzak; Y. Tulebayev; A. Seitenov,2024,2024 IEEE 4th International Conference on Smart Information Systems and Technologies (SIST),10.1109/SIST61555.2024.10629549,2024,,IEEE Conferences
Shallow water equations-fused dam-break wave propagation prediction model ensembled with a training process resampling method,C. Li; Z. Han,2023,2023 International Conference on Intelligent Computing and Next Generation Networks（ICNGN),10.1109/ICNGN59831.2023.10396666,2023,,IEEE Conferences
Vehicle Type Classification System for Expressway Based on Improved Convolutional Neural Network,Z. Yibo; L. Qi; H. Peifeng,2020,2020 3rd International Conference on Artificial Intelligence and Big Data (ICAIBD),10.1109/ICAIBD49809.2020.9137449,2020,,IEEE Conferences
Joint Request Offloading and Resource Allocation for Energy Efficient D2D Enabled Multi-type Inference Services,Z. Zeng; J. Huang; J. Wu; J. Wu,2023,"2023 IEEE Intl Conf on Parallel & Distributed Processing with Applications, Big Data & Cloud Computing, Sustainable Computing & Communications, Social Computing & Networking (ISPA/BDCloud/SocialCom/SustainCom)",10.1109/ISPA-BDCloud-SocialCom-SustainCom59178.2023.00061,2023,,IEEE Conferences
Research on Fault Prediction Technology Based on Improved LSTM Neural Network,H. Qin; X. Jiang; J. Song; Z. Wang; K. Ding; H. Gong,2023,"2023 5th International Conference on Machine Learning, Big Data and Business Intelligence (MLBDBI)",10.1109/MLBDBI60823.2023.10482240,2023,,IEEE Conferences
New Insights Into Drug Repurposing for COVID-19 Using Deep Learning,C. Y. Lee; Y. -P. P. Chen,2021,IEEE Transactions on Neural Networks and Learning Systems,10.1109/TNNLS.2021.3111745,2021,,IEEE Journals
Deep Reinforcement Learning Task Assignment Based on Domain Knowledge,J. Liu; G. Wang; X. Guo; S. Wang; Q. Fu,2022,IEEE Access,10.1109/ACCESS.2022.3217654,2022,,IEEE Journals
Delivery Route Optimization Based on Deep Reinforcement Learning,E. Xing; B. Cai,2020,"2020 2nd International Conference on Machine Learning, Big Data and Business Intelligence (MLBDBI)",10.1109/MLBDBI51377.2020.00071,2020,,IEEE Conferences
Graph Neural Networks for Scalable Radio Resource Management: Architecture Design and Theoretical Analysis,Y. Shen; Y. Shi; J. Zhang; K. B. Letaief,2021,IEEE Journal on Selected Areas in Communications,10.1109/JSAC.2020.3036965,2021,,IEEE Journals
A Neural Network Anomaly Detection Model Based on Archimedes Optimization Algorithm for Intelligent Operation and Maintenance,Y. Wei; Z. Li; J. Pan; Z. Yang; Y. Nong; S. Zhou; Z. Zheng; N. Chen,2023,2023 6th International Conference on Artificial Intelligence and Big Data (ICAIBD),10.1109/ICAIBD57115.2023.10206253,2023,,IEEE Conferences
Detecting Sex From Handwritten Examples,S. Saha; M. A. Bin Khaled; M. S. Islam; N. S. Puja; M. Hasan,2018,"2018 ieee international conference on system, computation, automation and networking (icscan)",10.1109/ICSCAN.2018.8541214,2018,,IEEE Conferences
Versatile Communication Optimization for Deep Learning by Modularized Parameter Server,P. -Y. Wu; P. Liu; J. -J. Wu,2018,2018 IEEE International Conference on Big Data (Big Data),10.1109/BigData.2018.8622358,2018,,IEEE Conferences
Large-Scale Mobile App Identification Using Deep Learning,S. Rezaei; B. Kroencke; X. Liu,2020,IEEE Access,10.1109/ACCESS.2019.2962018,2020,,IEEE Journals
On Neural Network Activation Functions and Optimizers in Relation to Polynomial Regression,J. Pomerat; A. Segev; R. Datta,2019,2019 IEEE International Conference on Big Data (Big Data),10.1109/BigData47090.2019.9005674,2019,,IEEE Conferences
RLCkt II: Deep Reinforcement Learning via Attention-Aware Sampling for Analog Integrated Circuit Transistor Sizing Automation,W. Zuo; W. Sun; B. Lan; J. Wan,2024,2024 2nd International Symposium of Electronics Design Automation (ISEDA),10.1109/ISEDA62518.2024.10617708,2024,,IEEE Conferences
Image classification optimization and results analysis based on VGG network,J. Shi; Y. Zhao,2020,"2020 IEEE International Conference on Information Technology,Big Data and Artificial Intelligence (ICIBA)",10.1109/ICIBA50161.2020.9277329,2020,,IEEE Conferences
An Attentional Interactive Deep Learning Model for Multi-source Electrical Consistency Checking in Power Grid Measurement Center,Y. Xu; L. Li; J. Tan; S. Li; Z. Ma; M. Liu; L. Wei; J. Tu,2023,2023 IEEE 7th Information Technology and Mechatronics Engineering Conference (ITOEC),10.1109/ITOEC57671.2023.10291942,2023,,IEEE Conferences
Big Vibration Data Diagnosis of Bearing Fault Base on Feature Representation of Autoencoder and Optimal LSSVM-CRO Classifier Model,V. Nguyen; T. Dung Hoang; V. Thai; X. Nguyen,2019,2019 International Conference on System Science and Engineering (ICSSE),10.1109/ICSSE.2019.8823332,2019,,IEEE Conferences
Deep Learning Based Joint Hybrid Precoding and Combining Design for mmWave MIMO Systems,F. Liu; X. Li; X. Yang; H. Shi; B. Shi; R. Du,2024,IEEE Systems Journal,10.1109/JSYST.2024.3357712,2024,,IEEE Journals
A Hybrid Anomaly Detection Model Based on GANomaly in Cloud Environment,W. Yang; C. Zeng,2022,2022 IEEE 5th International Conference on Big Data and Artificial Intelligence (BDAI),10.1109/BDAI56143.2022.9862656,2022,,IEEE Conferences
Comparative Study of Deep Learning Techniques for Detecting Tomato Plant Leaf Diseases Using Transfer Learning,P. K. Nalli; D. P. Garapati; M. V. Subbarao; E. Katta; A. S. Krishna; N. Deevi,2024,2024 International Conference on Distributed Computing and Optimization Techniques (ICDCOT),10.1109/ICDCOT61034.2024.10516123,2024,,IEEE Conferences
From EMBER to FIRE: predicting high resolution baryon fields from dark matter simulations with deep learning,M. Bernardini; R. Feldmann; D. Anglés-Alcázar; M. Boylan-Kolchin; J. Bullock; L. Mayer; J. Stadel,2021,Monthly Notices of the Royal Astronomical Society,10.1093/mnras/stab3088,2021,,OUP Journals
Aircraft Detection in Airport Remote Sensing Images based on YOLOv5,C. Ji; L. Zhang; J. Li,2022,2022 9th International Conference on Digital Home (ICDH),10.1109/ICDH57206.2022.00009,2022,,IEEE Conferences
Multimodal Emotion Recognition Based on Hybrid Fusion,G. Yang; D. Yang; J. Li; G. Wang,2023,"2023 5th International Conference on Machine Learning, Big Data and Business Intelligence (MLBDBI)",10.1109/MLBDBI60823.2023.10481889,2023,,IEEE Conferences
Using Machine Learning Regression Model to Predict the Optimum Election Algorithm for Parallel and Distributed Computing Systems,N. Dhariwal,2023,"2023 Third International Conference on Smart Technologies, Communication and Robotics (STCR)",10.1109/STCR59085.2023.10396874,2023,,IEEE Conferences
Optimization of Wireless Ad Hoc Network Node Layout Self-play Based on AlphaZero Algorithm,X. Zou; R. Yang; C. Yin; X. Wang,2019,2019 2nd International Conference on Artificial Intelligence and Big Data (ICAIBD),10.1109/ICAIBD.2019.8837036,2019,,IEEE Conferences
Distributed Parameter Optimization Scheduling Strategy and System Design Based on Mesos,S. Li; Z. Lu; Y. Sun; S. Deng; B. Niu,2019,"2019 IEEE 5th Intl Conference on Big Data Security on Cloud (BigDataSecurity), IEEE Intl Conference on High Performance and Smart Computing, (HPSC) and IEEE Intl Conference on Intelligent Data and Security (IDS)",10.1109/BigDataSecurity-HPSC-IDS.2019.00050,2019,,IEEE Conferences
Confrontational flight trajectory prediction based on attention mechanism,Y. Sun; D. Wang; W. Wang; L. Xiong; X. Yang,2020,2020 International Conference on Big Data & Artificial Intelligence & Software Engineering (ICBASE),10.1109/ICBASE51474.2020.00052,2020,,IEEE Conferences
MOPSO-Based CNN for Keyword Selection on Google Ads,J. Liang; H. Yang; J. Gao; C. Yue; S. Ge; B. Qu,2019,IEEE Access,10.1109/ACCESS.2019.2937339,2019,,IEEE Journals
Multi-scale Feature Fusion in Wireless Propagation Model Optimization Algorithms,L. Zheng; J. Min; C. Guo; T. Yan,2021,"2021 International Conference on Intelligent Transportation, Big Data & Smart City (ICITBS)",10.1109/ICITBS53129.2021.00174,2021,,IEEE Conferences
Research on Task Scheduling Optimi-Zation of Data Center Under Double Carbon Target,Z. Mei; C. Yang; W. Yang; Z. Wang; Y. Yang,2022,"2022 International Conference on Industrial IoT, Big Data and Supply Chain (IIoTBDSC)",10.1109/IIoTBDSC57192.2022.00061,2022,,IEEE Conferences
